Fit Coefficient (RefSpec)	Fit Coefficient Error (RefSpec)	Shift (RefSpec)	Shift Error (RefSpec)	Squeeze (RefSpec)	Squeeze Error (RefSpec)	Quadratic Squeeze (RefSpec)	Quadratic Squeeze Error (RefSpec)	Cubic Squeeze (RefSpec)	Cubic Squeeze Error (RefSpec)	Fit Coefficient (RingSpec)	Fit Coefficient Error (RingSpec)	Shift (RingSpec)	Shift Error (RingSpec)	Squeeze (RingSpec)	Squeeze Error (RingSpec)	Quadratic Squeeze (RingSpec)	Quadratic Squeeze Error (RingSpec)	Cubic Squeeze (RingSpec)	Cubic Squeeze Error (RingSpec)	Fit Coefficient (Ring4)	Fit Coefficient Error (Ring4)	Shift (Ring4)	Shift Error (Ring4)	Squeeze (Ring4)	Squeeze Error (Ring4)	Quadratic Squeeze (Ring4)	Quadratic Squeeze Error (Ring4)	Cubic Squeeze (Ring4)	Cubic Squeeze Error (Ring4)	Fit Coefficient (SO2_Hermans_298_air_conv)	Fit Coefficient Error (SO2_Hermans_298_air_conv)	Shift (SO2_Hermans_298_air_conv)	Shift Error (SO2_Hermans_298_air_conv)	Squeeze (SO2_Hermans_298_air_conv)	Squeeze Error (SO2_Hermans_298_air_conv)	Quadratic Squeeze (SO2_Hermans_298_air_conv)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv)	Cubic Squeeze (SO2_Hermans_298_air_conv)	Cubic Squeeze Error (SO2_Hermans_298_air_conv)	Fit Coefficient (o3_221K_air_burrows_1999_conv)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv)	Shift (o3_221K_air_burrows_1999_conv)	Shift Error (o3_221K_air_burrows_1999_conv)	Squeeze (o3_221K_air_burrows_1999_conv)	Squeeze Error (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv)	Cubic Squeeze (o3_221K_air_burrows_1999_conv)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	0.0059779	0.00090513	0.99945	0.0001296	0	0	0	0	-7.6493e+24	1.9491e+24	0.0059779	0.00090513	0.99945	0.0001296	0	0	0	0	-4.1875e+25	3.3793e+25	0.0059779	0.00090513	0.99945	0.0001296	0	0	0	0	6.1446e+17	7.3622e+15	-0.099976	0.0027558	1.0017	0.00063492	0	0	0	0	5.0356e+18	8.7808e+16	-0.099976	0.0027558	1.0017	0.00063492	0	0	0	0	0.00070465	0.015699	0.0022679	34	-1318.7	396.14	12.49	3.7638	-0.039486	0.011919	4.1652e-05	1.2579e-05	16051	1995	10	0.01	1e-20	1e+20	0.001	1e-25		5.1653e+06	184.9	8.95e+06	1.7327	2.3802e+06	Avantes	-4.2	334.55	306	170	0	37.766	0		15.016	0	2047	0	8.957e+06	2047	7008.6	0	0	COVERT_,-4.2,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 101.49404925449 SZA: 67.2895784247221 LAZ: 89.7110230523377 LAZ: 111.801134743195 Date: 9/9/2013 06:36:29 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:36:29 AM	6:36:29 AM	9/9/2013	9/9/2013 6:41:03 AM	6:41:03 AM	0	00:00:00	Corrected	COVERT_							5.6655e+12
-1	0	0.0044531	0.00062592	0.99961	8.954e-05	0	0	0	0	-7.5723e+24	1.4049e+24	0.0044531	0.00062592	0.99961	8.954e-05	0	0	0	0	-1.4769e+25	2.3669e+25	0.0044531	0.00062592	0.99961	8.954e-05	0	0	0	0	4.1051e+17	4.6387e+15	-0.099947	0.0026006	1.0023	0.0005641	0	0	0	0	4.3915e+18	6.0446e+16	-0.099947	0.0026006	1.0023	0.0005641	0	0	0	0	0.00033882	0.010161	0.0015726	36	-1182.7	273.53	11.193	2.5984	-0.035368	0.0082267	3.7297e-05	8.6811e-06	13974	1574.2	10	0.01	1e-20	1e+20	0.001	1e-25		5.1845e+06	184.9	8.9798e+06	1.732	2.3855e+06	Avantes	0.9	253.94	306	170	0	37.766	0		15.016	0	2047	0	8.9863e+06	2047	6526.6	0	0	COVERT_,0.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 102.288244669205 SZA: 66.3908749657669 LAZ: 90.4079220665645 LAZ: 110.920414989132 Date: 9/9/2013 06:41:08 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:41:08 AM	6:41:08 AM	9/9/2013	9/9/2013 6:44:37 AM	6:44:37 AM	0	00:00:00	Corrected	COVERT_							5.6908e+12
-1	0	0.0049498	0.00080737	0.99957	0.00011521	0	0	0	0	-8.2874e+24	1.7644e+24	0.0049498	0.00080737	0.99957	0.00011521	0	0	0	0	-1.1281e+25	3.0057e+25	0.0049498	0.00080737	0.99957	0.00011521	0	0	0	0	5.7167e+17	6.4279e+15	-0.093837	0.0027175	0.99975	0.00064305	0	0	0	0	4.1643e+18	7.7676e+16	-0.093837	0.0027175	0.99975	0.00064305	0	0	0	0	0.00055252	0.012785	0.002008	15	-449.02	336.27	4.2381	3.1948	-0.013382	0.010117	1.4121e-05	1.0677e-05	10892	2189.5	10	0.01	1e-20	1e+20	0.001	1e-25		5.2503e+06	184.9	8.9778e+06	1.71	2.3199e+06	Avantes	5.9	231.3	306	170	0	37.766	0		15.016	0	2047	0	8.9841e+06	2047	6264.7	0	0	COVERT_,5.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 102.903568236011 SZA: 65.7033868108261 LAZ: 90.9396817012232 LAZ: 110.244926691115 Date: 9/9/2013 06:44:42 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:44:42 AM	6:44:42 AM	9/9/2013	9/9/2013 6:47:57 AM	6:47:57 AM	0	00:00:00	Corrected	COVERT_							5.3818e+12
-1	0	0.0072421	0.0015276	0.99932	0.00021462	0	0	0	0	-6.7489e+24	2.8059e+24	0.0072421	0.0015276	0.99932	0.00021462	0	0	0	0	-4.8105e+24	5.1334e+25	0.0072421	0.0015276	0.99932	0.00021462	0	0	0	0	1.3992e+18	1.5802e+16	-0.092825	0.0024319	0.99693	0.00068081	0	0	0	0	3.9459e+18	1.4481e+17	-0.092825	0.0024319	0.99693	0.00068081	0	0	0	0	0.0018616	0.028175	0.003686	13	91.301	535.98	-0.83063	5.0968	0.0024833	0.016153	-2.4437e-06	1.7063e-05	9553.1	3186.7	10	0.01	1e-20	1e+20	0.001	1e-25		5.3332e+06	184.9	8.9788e+06	1.6836	2.3255e+06	Avantes	10.8	233.95	306	170	0	37.766	0		15.016	0	2047	0	8.985e+06	2047	6175.8	0	0	COVERT_,10.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 103.48080018302 SZA: 65.0656114254563 LAZ: 91.4321779872929 LAZ: 109.616878610883 Date: 9/9/2013 06:48:01 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:48:01 AM	6:48:01 AM	9/9/2013	9/9/2013 6:51:16 AM	6:51:16 AM	0	00:00:00	Corrected	COVERT_							5.4077e+12
-1	0	0.0055601	0.001843	0.99951	0.00025974	0	0	0	0	4.8239e+24	3.4251e+24	0.0055601	0.001843	0.99951	0.00025974	0	0	0	0	-1.1734e+26	6.3007e+25	0.0055601	0.001843	0.99951	0.00025974	0	0	0	0	1.6493e+18	2.0631e+16	-0.096966	0.0026095	0.99753	0.00074892	0	0	0	0	3.6303e+18	1.7855e+17	-0.096966	0.0026095	0.99753	0.00074892	0	0	0	0	0.0028342	0.037392	0.0045481	13	-1338.4	641.17	12.791	6.0981	-0.040759	0.01933	4.3302e-05	2.0422e-05	21574	4008.8	10	0.01	1e-20	1e+20	0.001	1e-25		5.3849e+06	184.9	8.9812e+06	1.6678	2.3271e+06	Avantes	15.7	225	306	170	0	37.766	0		15.016	0	2047	0	8.9874e+06	2047	6169.1	0	0	COVERT_,15.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 104.066039705292 SZA: 64.4261914837997 LAZ: 91.9253634989398 LAZ: 108.985813228345 Date: 9/9/2013 06:51:21 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:51:21 AM	6:51:21 AM	9/9/2013	9/9/2013 6:54:28 AM	6:54:28 AM	0	00:00:00	Corrected	COVERT_							5.4153e+12
-1	0	0.0015854	0.0028019	0.99943	0.00040606	0	0	0	0	4.2862e+25	3.7978e+24	0.0015854	0.0028019	0.99943	0.00040606	0	0	0	0	-6.2908e+26	8.2774e+25	0.0015854	0.0028019	0.99943	0.00040606	0	0	0	0	2.0812e+18	2.947e+16	-0.099983	0.0035229	1.0003	0.0010271	0	0	0	0	3.6162e+18	3.0018e+17	-0.099983	0.0035229	1.0003	0.0010271	0	0	0	0	0.0078979	0.050556	0.0075927	18	-3769.2	900.79	35.661	8.5882	-0.11243	0.02729	0.00011811	2.8903e-05	-78525	1438.3	10	0.01	1e-20	1e+20	0.001	1e-25		6.4641e+06	184.9	3.2863e+06	0.5084	6.3023e+05	Avantes	20.7	234.5	306	170	0	37.766	0		15.016	0	2047	0	7.748e+06	733	4.4617e+06	432	0	COVERT_,20.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 104.632885736678 SZA: 63.8138952991705 LAZ: 92.3972682942139 LAZ: 108.380165252655 Date: 9/9/2013 06:54:33 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:54:33 AM	6:54:33 AM	9/9/2013	9/9/2013 6:57:50 AM	6:57:50 AM	0	00:00:00	Corrected	COVERT_							3.972e+11
-1	0	0.0056927	0.0019684	0.99946	0.00027561	0	0	0	0	3.4062e+24	3.559e+24	0.0056927	0.0019684	0.99946	0.00027561	0	0	0	0	-9.1798e+25	6.5403e+25	0.0056927	0.0019684	0.99946	0.00027561	0	0	0	0	1.8144e+18	2.2609e+16	-0.097009	0.0025636	0.99685	0.00075497	0	0	0	0	2.7959e+18	1.8834e+17	-0.097009	0.0025636	0.99685	0.00075497	0	0	0	0	0.003154	0.041162	0.004798	13	-790.92	640.23	7.6003	6.0904	-0.024345	0.01931	2.599e-05	2.0406e-05	20194	4998.9	10	0.01	1e-20	1e+20	0.001	1e-25		5.4913e+06	184.9	8.9082e+06	1.6223	2.3257e+06	Avantes	26	240.65	306	170	0	37.766	0		15.016	0	2047	0	8.9147e+06	2047	6411.4	0	0	COVERT_,26.0,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 105.231782228208 SZA: 63.1746027709366 LAZ: 92.8897987299442 LAZ: 107.746356436197 Date: 9/9/2013 06:57:54 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:57:54 AM	6:57:54 AM	9/9/2013	9/9/2013 7:01:13 AM	7:01:13 AM	0	00:00:00	Corrected	COVERT_							5.4091e+12
-1	0	0.0018379	0.00047299	0.99984	6.7192e-05	0	0	0	0	-1.8365e+24	1.1487e+24	0.0018379	0.00047299	0.99984	6.7192e-05	0	0	0	0	-2.3473e+25	1.7876e+25	0.0018379	0.00047299	0.99984	6.7192e-05	0	0	0	0	3.3369e+17	3.4013e+15	-0.097384	0.002944	0.9995	0.00074193	0	0	0	0	1.8087e+18	4.5447e+16	-0.097384	0.002944	0.9995	0.00074193	0	0	0	0	0.00019049	0.0082265	0.0011791	15	-275.06	177.47	2.6232	1.6858	-0.0083456	0.0053374	8.8561e-06	5.6323e-06	9274.3	2696.8	10	0.01	1e-20	1e+20	0.001	1e-25		4.8181e+06	184.9	8.9886e+06	1.8656	2.0478e+06	Avantes	30.6	263.25	306	170	0	37.766	0		15.016	0	2047	0	8.9949e+06	2047	6318.7	0	0	COVERT_,30.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 105.84255652595 SZA: 62.5308065543229 LAZ: 93.3858165989151 LAZ: 107.106526071875 Date: 9/9/2013 07:01:17 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:01:17 AM	7:01:17 AM	9/9/2013	9/9/2013 7:04:54 AM	7:04:54 AM	0	00:00:00	Corrected	COVERT_							4.1936e+12
-1	0	0.0010057	0.00023594	0.99996	3.3704e-05	0	0	0	0	-1.9671e+24	5.9711e+23	0.0010057	0.00023594	0.99996	3.3704e-05	0	0	0	0	-9.281e+24	8.9849e+24	0.0010057	0.00023594	0.99996	3.3704e-05	0	0	0	0	1.095e+17	1.5561e+15	-0.099699	0.0036409	1.0022	0.0007814	0	0	0	0	1.2287e+18	2.2943e+16	-0.099699	0.0036409	1.0022	0.0007814	0	0	0	0	4.9124e-05	0.0029666	0.00059875	17	-179.97	87.917	1.7079	0.83506	-0.0054078	0.0026437	5.7126e-06	2.7896e-06	6118.5	1554.7	10	0.01	1e-20	1e+20	0.001	1e-25		4.6029e+06	184.9	8.9883e+06	1.9528	1.9804e+06	Avantes	35.8	273.03	306	170	0	37.766	0		15.016	0	2047	0	8.9944e+06	2047	6053.9	0	0	COVERT_,35.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 106.517589837859 SZA: 61.8289993022596 LAZ: 93.926798244739 LAZ: 106.407194573275 Date: 9/9/2013 07:04:59 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:04:59 AM	7:04:59 AM	9/9/2013	9/9/2013 7:08:44 AM	7:08:44 AM	0	00:00:00	Corrected	COVERT_							3.9221e+12
-1	0	0.0010307	0.00017274	0.99992	2.4662e-05	0	0	0	0	-1.3902e+24	4.4004e+23	0.0010307	0.00017274	0.99992	2.4662e-05	0	0	0	0	-7.6803e+24	6.5272e+24	0.0010307	0.00017274	0.99992	2.4662e-05	0	0	0	0	7.0531e+16	1.1224e+15	-0.099775	0.0041545	1.0025	0.00089276	0	0	0	0	7.8568e+17	1.6833e+16	-0.099775	0.0041545	1.0025	0.00089276	0	0	0	0	2.6375e-05	0.0029419	0.00043874	30	-109.36	62.534	1.0365	0.59398	-0.0032765	0.0018805	3.4543e-06	1.9843e-06	3811	1206.4	10	0.01	1e-20	1e+20	0.001	1e-25		4.5121e+06	184.9	8.9882e+06	1.992	1.9503e+06	Avantes	40.4	280.19	306	170	0	37.766	0		15.016	0	2047	0	8.9943e+06	2047	6090.7	0	0	COVERT_,40.4,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 107.225100003516 SZA: 61.1045054381493 LAZ: 94.4858506042309 LAZ: 105.683150482156 Date: 9/9/2013 07:08:49 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:08:49 AM	7:08:49 AM	9/9/2013	9/9/2013 7:12:39 AM	7:12:39 AM	0	00:00:00	Corrected	COVERT_							3.8035e+12
