Fit Coefficient (RefSpec)	Fit Coefficient Error (RefSpec)	Shift (RefSpec)	Shift Error (RefSpec)	Squeeze (RefSpec)	Squeeze Error (RefSpec)	Quadratic Squeeze (RefSpec)	Quadratic Squeeze Error (RefSpec)	Cubic Squeeze (RefSpec)	Cubic Squeeze Error (RefSpec)	Fit Coefficient (RingSpec)	Fit Coefficient Error (RingSpec)	Shift (RingSpec)	Shift Error (RingSpec)	Squeeze (RingSpec)	Squeeze Error (RingSpec)	Quadratic Squeeze (RingSpec)	Quadratic Squeeze Error (RingSpec)	Cubic Squeeze (RingSpec)	Cubic Squeeze Error (RingSpec)	Fit Coefficient (Ring4)	Fit Coefficient Error (Ring4)	Shift (Ring4)	Shift Error (Ring4)	Squeeze (Ring4)	Squeeze Error (Ring4)	Quadratic Squeeze (Ring4)	Quadratic Squeeze Error (Ring4)	Cubic Squeeze (Ring4)	Cubic Squeeze Error (Ring4)	Fit Coefficient (SO2_Hermans_298_air_conv)	Fit Coefficient Error (SO2_Hermans_298_air_conv)	Shift (SO2_Hermans_298_air_conv)	Shift Error (SO2_Hermans_298_air_conv)	Squeeze (SO2_Hermans_298_air_conv)	Squeeze Error (SO2_Hermans_298_air_conv)	Quadratic Squeeze (SO2_Hermans_298_air_conv)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv)	Cubic Squeeze (SO2_Hermans_298_air_conv)	Cubic Squeeze Error (SO2_Hermans_298_air_conv)	Fit Coefficient (BrO_Wil298_Air_conv)	Fit Coefficient Error (BrO_Wil298_Air_conv)	Shift (BrO_Wil298_Air_conv)	Shift Error (BrO_Wil298_Air_conv)	Squeeze (BrO_Wil298_Air_conv)	Squeeze Error (BrO_Wil298_Air_conv)	Quadratic Squeeze (BrO_Wil298_Air_conv)	Quadratic Squeeze Error (BrO_Wil298_Air_conv)	Cubic Squeeze (BrO_Wil298_Air_conv)	Cubic Squeeze Error (BrO_Wil298_Air_conv)	Fit Coefficient (OClO_293K_Bogumil_2003_conv)	Fit Coefficient Error (OClO_293K_Bogumil_2003_conv)	Shift (OClO_293K_Bogumil_2003_conv)	Shift Error (OClO_293K_Bogumil_2003_conv)	Squeeze (OClO_293K_Bogumil_2003_conv)	Squeeze Error (OClO_293K_Bogumil_2003_conv)	Quadratic Squeeze (OClO_293K_Bogumil_2003_conv)	Quadratic Squeeze Error (OClO_293K_Bogumil_2003_conv)	Cubic Squeeze (OClO_293K_Bogumil_2003_conv)	Cubic Squeeze Error (OClO_293K_Bogumil_2003_conv)	Fit Coefficient (o3_221K_air_burrows_1999_conv)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv)	Shift (o3_221K_air_burrows_1999_conv)	Shift Error (o3_221K_air_burrows_1999_conv)	Squeeze (o3_221K_air_burrows_1999_conv)	Squeeze Error (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv)	Cubic Squeeze (o3_221K_air_burrows_1999_conv)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv)	Fit Coefficient (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Fit Coefficient Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Shift (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Shift Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Quadratic Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Quadratic Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Cubic Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Cubic Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Fit Coefficient (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Fit Coefficient Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Shift (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Shift Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Quadratic Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Quadratic Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Cubic Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Cubic Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Fit Coefficient (HCHO_meller_conv)	Fit Coefficient Error (HCHO_meller_conv)	Shift (HCHO_meller_conv)	Shift Error (HCHO_meller_conv)	Squeeze (HCHO_meller_conv)	Squeeze Error (HCHO_meller_conv)	Quadratic Squeeze (HCHO_meller_conv)	Quadratic Squeeze Error (HCHO_meller_conv)	Cubic Squeeze (HCHO_meller_conv)	Cubic Squeeze Error (HCHO_meller_conv)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	0.0019932	0.00012354	1	9.0064e-06	0	0	0	0	-9.5013e+24	4.5519e+23	0.0019932	0.00012354	1	9.0064e-06	0	0	0	0	-1.9481e+25	2.2818e+24	0.0019932	0.00012354	1	9.0064e-06	0	0	0	0	3.7422e+17	3.1269e+17	-0.086856	0.0045346	1.0031	0.00091487	0	0	0	0	8.473e+13	8.3534e+12	-0.086856	0.0045346	1.0031	0.00091487	0	0	0	0	-1.0735e+13	1.0398e+13	-0.086856	0.0045346	1.0031	0.00091487	0	0	0	0	4.6521e+18	3.8559e+16	-0.086856	0.0045346	1.0031	0.00091487	0	0	0	0	3.4743e+43	9.7213e+41	-0.086856	0.0045346	1.0031	0.00091487	0	0	0	0	1.5768e+15	9.2689e+14	-0.086856	0.0045346	1.0031	0.00091487	0	0	0	0	2.6157e+16	2.3325e+15	-0.086856	0.0045346	1.0031	0.00091487	0	0	0	0	3.422e-05	0.0019152	0.00033661	7	-28.879	7.1473	0.21988	0.061895	-0.00057992	0.00017862	5.3176e-07	1.7179e-07	-13915	3486.5	10	0.01	1e-20	1e+20	0.001	1e-25		5.1653e+06	184.9	8.95e+06	1.7327	2.3802e+06	Avantes	-4.2	334.55	733	432	0	37.766	0		15.016	0	2047	0	8.957e+06	2047	7008.6	0	0	COVERT_,-4.2,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 101.49404925449 SZA: 67.2895784247221 LAZ: 89.7110230523377 LAZ: 111.801134743195 Date: 9/9/2013 06:36:29 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:36:29 AM	6:36:29 AM	9/9/2013	9/9/2013 6:41:03 AM	6:41:03 AM	0	00:00:00	Corrected	COVERT_							5.6655e+12
-1	0	0.0015927	0.00010489	1	7.6411e-06	0	0	0	0	-8.1211e+24	3.8747e+23	0.0015927	0.00010489	1	7.6411e-06	0	0	0	0	-1.6449e+25	1.942e+24	0.0015927	0.00010489	1	7.6411e-06	0	0	0	0	3.7139e+17	2.6601e+17	-0.085014	0.0043883	1.0033	0.00087282	0	0	0	0	8.1504e+13	7.1033e+12	-0.085014	0.0043883	1.0033	0.00087282	0	0	0	0	7.8187e+12	8.8311e+12	-0.085014	0.0043883	1.0033	0.00087282	0	0	0	0	4.0616e+18	3.2771e+16	-0.085014	0.0043883	1.0033	0.00087282	0	0	0	0	3.0729e+43	8.2789e+41	-0.085014	0.0043883	1.0033	0.00087282	0	0	0	0	3.9816e+14	7.8856e+14	-0.085014	0.0043883	1.0033	0.00087282	0	0	0	0	1.7032e+16	1.9847e+15	-0.085014	0.0043883	1.0033	0.00087282	0	0	0	0	2.4751e-05	0.0015183	0.00028628	8	-23.089	6.0858	0.16921	0.052703	-0.00043236	0.0001521	3.8871e-07	1.4628e-07	-14914	2952.5	10	0.01	1e-20	1e+20	0.001	1e-25		5.1845e+06	184.9	8.9798e+06	1.732	2.3855e+06	Avantes	0.9	253.94	733	432	0	37.766	0		15.016	0	2047	0	8.9863e+06	2047	6526.6	0	0	COVERT_,0.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 102.288244669205 SZA: 66.3908749657669 LAZ: 90.4079220665645 LAZ: 110.920414989132 Date: 9/9/2013 06:41:08 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:41:08 AM	6:41:08 AM	9/9/2013	9/9/2013 6:44:37 AM	6:44:37 AM	0	00:00:00	Corrected	COVERT_							5.6908e+12
-1	0	0.0016118	9.2243e-05	0.99999	6.7194e-06	0	0	0	0	-8.1932e+24	3.4011e+23	0.0016118	9.2243e-05	0.99999	6.7194e-06	0	0	0	0	-1.8862e+25	1.7141e+24	0.0016118	9.2243e-05	0.99999	6.7194e-06	0	0	0	0	4.9164e+17	2.343e+17	-0.084543	0.0040523	1.0039	0.00079735	0	0	0	0	1.0073e+14	6.2491e+12	-0.084543	0.0040523	1.0039	0.00079735	0	0	0	0	1.9516e+13	7.7399e+12	-0.084543	0.0040523	1.0039	0.00079735	0	0	0	0	3.8309e+18	2.8828e+16	-0.084543	0.0040523	1.0039	0.00079735	0	0	0	0	2.7016e+43	7.2903e+41	-0.084543	0.0040523	1.0039	0.00079735	0	0	0	0	1.2023e+15	6.9368e+14	-0.084543	0.0040523	1.0039	0.00079735	0	0	0	0	1.3399e+16	1.7432e+15	-0.084543	0.0040523	1.0039	0.00079735	0	0	0	0	1.9134e-05	0.0014125	0.00025171	7	-19.812	5.3583	0.14077	0.046404	-0.0003447	0.00013392	2.9605e-07	1.288e-07	-10324	2854.9	10	0.01	1e-20	1e+20	0.001	1e-25		5.2503e+06	184.9	8.9778e+06	1.71	2.3199e+06	Avantes	5.9	231.3	733	432	0	37.766	0		15.016	0	2047	0	8.9841e+06	2047	6264.7	0	0	COVERT_,5.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 102.903568236011 SZA: 65.7033868108261 LAZ: 90.9396817012232 LAZ: 110.244926691115 Date: 9/9/2013 06:44:42 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:44:42 AM	6:44:42 AM	9/9/2013	9/9/2013 6:47:57 AM	6:47:57 AM	0	00:00:00	Corrected	COVERT_							5.3818e+12
-1	0	0.0013472	8.516e-05	0.99999	6.1967e-06	0	0	0	0	-2.8464e+24	3.1808e+23	0.0013472	8.516e-05	0.99999	6.1967e-06	0	0	0	0	-1.268e+25	1.6049e+24	0.0013472	8.516e-05	0.99999	6.1967e-06	0	0	0	0	1.1901e+18	2.1827e+17	-0.083532	0.0042423	1.0047	0.00075794	0	0	0	0	1.8962e+14	5.8252e+12	-0.083532	0.0042423	1.0047	0.00075794	0	0	0	0	7.3018e+13	7.1722e+12	-0.083532	0.0042423	1.0047	0.00075794	0	0	0	0	3.1628e+18	2.6821e+16	-0.083532	0.0042423	1.0047	0.00075794	0	0	0	0	1.8115e+43	6.7992e+41	-0.083532	0.0042423	1.0047	0.00075794	0	0	0	0	9.9987e+14	6.4608e+14	-0.083532	0.0042423	1.0047	0.00075794	0	0	0	0	1.0184e+16	1.6186e+15	-0.083532	0.0042423	1.0047	0.00075794	0	0	0	0	1.6561e-05	0.0013074	0.00023418	7	-18.219	4.9951	0.13308	0.043258	-0.00033502	0.00012484	2.9521e-07	1.2007e-07	-7120	2785.7	10	0.01	1e-20	1e+20	0.001	1e-25		5.3332e+06	184.9	8.9788e+06	1.6836	2.3255e+06	Avantes	10.8	233.95	733	432	0	37.766	0		15.016	0	2047	0	8.985e+06	2047	6175.8	0	0	COVERT_,10.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 103.48080018302 SZA: 65.0656114254563 LAZ: 91.4321779872929 LAZ: 109.616878610883 Date: 9/9/2013 06:48:01 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:48:01 AM	6:48:01 AM	9/9/2013	9/9/2013 6:51:16 AM	6:51:16 AM	0	00:00:00	Corrected	COVERT_							5.4077e+12
-1	0	0.0012648	8.0939e-05	1	5.8812e-06	0	0	0	0	1.0804e+24	3.049e+23	0.0012648	8.0939e-05	1	5.8812e-06	0	0	0	0	-5.5457e+24	1.5427e+24	0.0012648	8.0939e-05	1	5.8812e-06	0	0	0	0	1.4958e+18	2.1068e+17	-0.069709	0.004487	1.0044	0.00073681	0	0	0	0	2.5216e+14	5.5788e+12	-0.069709	0.004487	1.0044	0.00073681	0	0	0	0	7.5053e+13	6.8399e+12	-0.069709	0.004487	1.0044	0.00073681	0	0	0	0	2.6505e+18	2.5681e+16	-0.069709	0.004487	1.0044	0.00073681	0	0	0	0	1.2637e+43	6.5164e+41	-0.069709	0.004487	1.0044	0.00073681	0	0	0	0	6.1021e+14	6.1762e+14	-0.069709	0.004487	1.0044	0.00073681	0	0	0	0	6.9795e+15	1.5447e+15	-0.069709	0.004487	1.0044	0.00073681	0	0	0	0	1.5118e-05	0.0011062	0.00022374	7	-15.001	4.7922	0.1087	0.041501	-0.00027178	0.00011977	2.3925e-07	1.1519e-07	691.08	2748.3	10	0.01	1e-20	1e+20	0.001	1e-25		5.3849e+06	184.9	8.9812e+06	1.6678	2.3271e+06	Avantes	15.7	225	733	432	0	37.766	0		15.016	0	2047	0	8.9874e+06	2047	6169.1	0	0	COVERT_,15.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 104.066039705292 SZA: 64.4261914837997 LAZ: 91.9253634989398 LAZ: 108.985813228345 Date: 9/9/2013 06:51:21 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:51:21 AM	6:51:21 AM	9/9/2013	9/9/2013 6:54:28 AM	6:54:28 AM	0	00:00:00	Corrected	COVERT_							5.4153e+12
-1	0	0.00089035	8.4222e-05	1	6.1177e-06	0	0	0	0	1.5429e+24	3.1803e+23	0.00089035	8.4222e-05	1	6.1177e-06	0	0	0	0	-2.8788e+24	1.6158e+24	0.00089035	8.4222e-05	1	6.1177e-06	0	0	0	0	1.6422e+18	2.1917e+17	-0.071053	0.0048927	1.0047	0.00071124	0	0	0	0	3.2659e+14	5.8215e+12	-0.071053	0.0048927	1.0047	0.00071124	0	0	0	0	1.0419e+14	7.1165e+12	-0.071053	0.0048927	1.0047	0.00071124	0	0	0	0	2.2949e+18	2.6737e+16	-0.071053	0.0048927	1.0047	0.00071124	0	0	0	0	9.9467e+42	6.783e+41	-0.071053	0.0048927	1.0047	0.00071124	0	0	0	0	3.0578e+14	6.4385e+14	-0.071053	0.0048927	1.0047	0.00071124	0	0	0	0	2.5021e+15	1.608e+15	-0.071053	0.0048927	1.0047	0.00071124	0	0	0	0	1.6408e-05	0.0014923	0.00023309	6	-7.2876	4.991	0.045942	0.043223	-9.7851e-05	0.00012474	7.5816e-08	1.1997e-07	-1.5519e+05	2870	10	0.01	1e-20	1e+20	0.001	1e-25		6.4641e+06	184.9	3.2863e+06	0.5084	6.3023e+05	Avantes	20.7	234.5	733	432	0	37.766	0		15.016	0	2047	0	7.748e+06	733	4.4617e+06	432	0	COVERT_,20.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 104.632885736678 SZA: 63.8138952991705 LAZ: 92.3972682942139 LAZ: 108.380165252655 Date: 9/9/2013 06:54:33 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:54:33 AM	6:54:33 AM	9/9/2013	9/9/2013 6:57:50 AM	6:57:50 AM	0	00:00:00	Corrected	COVERT_							3.972e+11
-1	0	0.00093501	6.6132e-05	1	4.803e-06	0	0	0	0	1.1907e+24	2.4934e+23	0.00093501	6.6132e-05	1	4.803e-06	0	0	0	0	-1.867e+24	1.2718e+24	0.00093501	6.6132e-05	1	4.803e-06	0	0	0	0	1.6438e+18	1.7277e+17	-0.06487	0.0044589	1.0038	0.00062333	0	0	0	0	2.9492e+14	4.5676e+12	-0.06487	0.0044589	1.0038	0.00062333	0	0	0	0	1.1203e+14	5.5921e+12	-0.06487	0.0044589	1.0038	0.00062333	0	0	0	0	1.9063e+18	2.0978e+16	-0.06487	0.0044589	1.0038	0.00062333	0	0	0	0	8.0948e+42	5.3317e+41	-0.06487	0.0044589	1.0038	0.00062333	0	0	0	0	7.0296e+14	5.0492e+14	-0.06487	0.0044589	1.0038	0.00062333	0	0	0	0	2.411e+15	1.2627e+15	-0.06487	0.0044589	1.0038	0.00062333	0	0	0	0	1.0103e-05	0.00099253	0.00018291	6	0.74801	3.9171	-0.020775	0.033922	8.9124e-05	9.7896e-05	-1.0068e-07	9.4151e-08	18490	2453.9	10	0.01	1e-20	1e+20	0.001	1e-25		5.4913e+06	184.9	8.9082e+06	1.6223	2.3257e+06	Avantes	26	240.65	733	432	0	37.766	0		15.016	0	2047	0	8.9147e+06	2047	6411.4	0	0	COVERT_,26.0,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 105.231782228208 SZA: 63.1746027709366 LAZ: 92.8897987299442 LAZ: 107.746356436197 Date: 9/9/2013 06:57:54 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:57:54 AM	6:57:54 AM	9/9/2013	9/9/2013 7:01:13 AM	7:01:13 AM	0	00:00:00	Corrected	COVERT_							5.4091e+12
-1	0	0.00040509	6.4134e-05	1	4.6604e-06	0	0	0	0	-4.0652e+24	2.3825e+23	0.00040509	6.4134e-05	1	4.6604e-06	0	0	0	0	-4.0646e+24	1.2374e+24	0.00040509	6.4134e-05	1	4.6604e-06	0	0	0	0	4.7992e+17	1.6445e+17	-0.078638	0.0062158	1.0042	0.0011621	0	0	0	0	7.5756e+13	4.3692e+12	-0.078638	0.0062158	1.0042	0.0011621	0	0	0	0	3.9555e+13	5.3431e+12	-0.078638	0.0062158	1.0042	0.0011621	0	0	0	0	1.6753e+18	2.01e+16	-0.078638	0.0062158	1.0042	0.0011621	0	0	0	0	4.8865e+42	5.118e+41	-0.078638	0.0062158	1.0042	0.0011621	0	0	0	0	9.0116e+14	4.8555e+14	-0.078638	0.0062158	1.0042	0.0011621	0	0	0	0	-1.357e+14	1.2132e+15	-0.078638	0.0062158	1.0042	0.0011621	0	0	0	0	9.3342e-06	0.0010228	0.00017581	6	2.4347	3.7461	-0.029014	0.032442	0.00010286	9.3629e-05	-1.1296e-07	9.005e-08	12237	2328.2	10	0.01	1e-20	1e+20	0.001	1e-25		4.8181e+06	184.9	8.9886e+06	1.8656	2.0478e+06	Avantes	30.6	263.25	733	432	0	37.766	0		15.016	0	2047	0	8.9949e+06	2047	6318.7	0	0	COVERT_,30.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 105.84255652595 SZA: 62.5308065543229 LAZ: 93.3858165989151 LAZ: 107.106526071875 Date: 9/9/2013 07:01:17 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:01:17 AM	7:01:17 AM	9/9/2013	9/9/2013 7:04:54 AM	7:04:54 AM	0	00:00:00	Corrected	COVERT_							4.1936e+12
-1	0	0.00066442	6.4638e-05	1	4.6956e-06	0	0	0	0	-4.2365e+24	2.3921e+23	0.00066442	6.4638e-05	1	4.6956e-06	0	0	0	0	-2.6289e+24	1.2532e+24	0.00066442	6.4638e-05	1	4.6956e-06	0	0	0	0	3.9051e+17	1.6511e+17	-0.083309	0.0086708	1.0054	0.001685	0	0	0	0	3.2409e+13	4.3934e+12	-0.083309	0.0086708	1.0054	0.001685	0	0	0	0	2.8317e+13	5.346e+12	-0.083309	0.0086708	1.0054	0.001685	0	0	0	0	1.2569e+18	2.0236e+16	-0.083309	0.0086708	1.0054	0.001685	0	0	0	0	2.5495e+42	5.156e+41	-0.083309	0.0086708	1.0054	0.001685	0	0	0	0	7.4371e+14	4.8954e+14	-0.083309	0.0086708	1.0054	0.001685	0	0	0	0	-1.3465e+15	1.2188e+15	-0.083309	0.0086708	1.0054	0.001685	0	0	0	0	9.4616e-06	0.0010088	0.000177	6	6.2432	3.7752	-0.059332	0.032695	0.000185	9.4363e-05	-1.8951e-07	9.0759e-08	6638.8	2294.1	10	0.01	1e-20	1e+20	0.001	1e-25		4.6029e+06	184.9	8.9883e+06	1.9528	1.9804e+06	Avantes	35.8	273.03	733	432	0	37.766	0		15.016	0	2047	0	8.9944e+06	2047	6053.9	0	0	COVERT_,35.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 106.517589837859 SZA: 61.8289993022596 LAZ: 93.926798244739 LAZ: 106.407194573275 Date: 9/9/2013 07:04:59 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:04:59 AM	7:04:59 AM	9/9/2013	9/9/2013 7:08:44 AM	7:08:44 AM	0	00:00:00	Corrected	COVERT_							3.9221e+12
-1	0	0.00035164	6.4669e-05	1	4.7004e-06	0	0	0	0	-3.2326e+24	2.3957e+23	0.00035164	6.4669e-05	1	4.7004e-06	0	0	0	0	-3.7508e+24	1.263e+24	0.00035164	6.4669e-05	1	4.7004e-06	0	0	0	0	-6.421e+16	1.6574e+17	-0.087265	0.014106	1.0069	0.0028434	0	0	0	0	1.3812e+13	4.4054e+12	-0.087265	0.014106	1.0069	0.0028434	0	0	0	0	1.2691e+13	5.332e+12	-0.087265	0.014106	1.0069	0.0028434	0	0	0	0	7.9159e+17	2.0326e+16	-0.087265	0.014106	1.0069	0.0028434	0	0	0	0	1.8047e+42	5.1776e+41	-0.087265	0.014106	1.0069	0.0028434	0	0	0	0	-2.6745e+14	4.92e+14	-0.087265	0.014106	1.0069	0.0028434	0	0	0	0	1.2837e+14	1.2193e+15	-0.087265	0.014106	1.0069	0.0028434	0	0	0	0	9.5227e-06	0.0010516	0.00017757	5	-1.4876	3.7958	0.0097177	0.032875	-1.9083e-05	9.4883e-05	9.9389e-09	9.1261e-08	3733.5	2268.5	10	0.01	1e-20	1e+20	0.001	1e-25		4.5121e+06	184.9	8.9882e+06	1.992	1.9503e+06	Avantes	40.4	280.19	733	432	0	37.766	0		15.016	0	2047	0	8.9943e+06	2047	6090.7	0	0	COVERT_,40.4,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 107.225100003516 SZA: 61.1045054381493 LAZ: 94.4858506042309 LAZ: 105.683150482156 Date: 9/9/2013 07:08:49 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:08:49 AM	7:08:49 AM	9/9/2013	9/9/2013 7:12:39 AM	7:12:39 AM	0	00:00:00	Corrected	COVERT_							3.8035e+12
