Fit Coefficient (RefSpec)	Fit Coefficient Error (RefSpec)	Shift (RefSpec)	Shift Error (RefSpec)	Squeeze (RefSpec)	Squeeze Error (RefSpec)	Quadratic Squeeze (RefSpec)	Quadratic Squeeze Error (RefSpec)	Cubic Squeeze (RefSpec)	Cubic Squeeze Error (RefSpec)	Fit Coefficient (RingSpec)	Fit Coefficient Error (RingSpec)	Shift (RingSpec)	Shift Error (RingSpec)	Squeeze (RingSpec)	Squeeze Error (RingSpec)	Quadratic Squeeze (RingSpec)	Quadratic Squeeze Error (RingSpec)	Cubic Squeeze (RingSpec)	Cubic Squeeze Error (RingSpec)	Fit Coefficient (Ring4)	Fit Coefficient Error (Ring4)	Shift (Ring4)	Shift Error (Ring4)	Squeeze (Ring4)	Squeeze Error (Ring4)	Quadratic Squeeze (Ring4)	Quadratic Squeeze Error (Ring4)	Cubic Squeeze (Ring4)	Cubic Squeeze Error (Ring4)	Fit Coefficient (SO2_Hermans_298_air_conv)	Fit Coefficient Error (SO2_Hermans_298_air_conv)	Shift (SO2_Hermans_298_air_conv)	Shift Error (SO2_Hermans_298_air_conv)	Squeeze (SO2_Hermans_298_air_conv)	Squeeze Error (SO2_Hermans_298_air_conv)	Quadratic Squeeze (SO2_Hermans_298_air_conv)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv)	Cubic Squeeze (SO2_Hermans_298_air_conv)	Cubic Squeeze Error (SO2_Hermans_298_air_conv)	Fit Coefficient (BrO_Wil298_Air_conv)	Fit Coefficient Error (BrO_Wil298_Air_conv)	Shift (BrO_Wil298_Air_conv)	Shift Error (BrO_Wil298_Air_conv)	Squeeze (BrO_Wil298_Air_conv)	Squeeze Error (BrO_Wil298_Air_conv)	Quadratic Squeeze (BrO_Wil298_Air_conv)	Quadratic Squeeze Error (BrO_Wil298_Air_conv)	Cubic Squeeze (BrO_Wil298_Air_conv)	Cubic Squeeze Error (BrO_Wil298_Air_conv)	Fit Coefficient (OClO_293K_Bogumil_2003_conv)	Fit Coefficient Error (OClO_293K_Bogumil_2003_conv)	Shift (OClO_293K_Bogumil_2003_conv)	Shift Error (OClO_293K_Bogumil_2003_conv)	Squeeze (OClO_293K_Bogumil_2003_conv)	Squeeze Error (OClO_293K_Bogumil_2003_conv)	Quadratic Squeeze (OClO_293K_Bogumil_2003_conv)	Quadratic Squeeze Error (OClO_293K_Bogumil_2003_conv)	Cubic Squeeze (OClO_293K_Bogumil_2003_conv)	Cubic Squeeze Error (OClO_293K_Bogumil_2003_conv)	Fit Coefficient (o3_221K_air_burrows_1999_conv)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv)	Shift (o3_221K_air_burrows_1999_conv)	Shift Error (o3_221K_air_burrows_1999_conv)	Squeeze (o3_221K_air_burrows_1999_conv)	Squeeze Error (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv)	Cubic Squeeze (o3_221K_air_burrows_1999_conv)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv)	Fit Coefficient (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Fit Coefficient Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Shift (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Shift Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Quadratic Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Quadratic Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Cubic Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Cubic Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Fit Coefficient (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Fit Coefficient Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Shift (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Shift Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Quadratic Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Quadratic Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Cubic Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Cubic Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Fit Coefficient (HCHO_meller_conv)	Fit Coefficient Error (HCHO_meller_conv)	Shift (HCHO_meller_conv)	Shift Error (HCHO_meller_conv)	Squeeze (HCHO_meller_conv)	Squeeze Error (HCHO_meller_conv)	Quadratic Squeeze (HCHO_meller_conv)	Quadratic Squeeze Error (HCHO_meller_conv)	Cubic Squeeze (HCHO_meller_conv)	Cubic Squeeze Error (HCHO_meller_conv)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	-0.00060653	8.9955e-05	1	6.1667e-06	0	0	0	0	-1.4429e+25	4.2531e+23	-0.00060653	8.9955e-05	1	6.1667e-06	0	0	0	0	-1.0949e+25	1.8632e+24	-0.00060653	8.9955e-05	1	6.1667e-06	0	0	0	0	1.5015e+17	2.3623e+17	0.0047405	0.045828	0.9965	0.0040412	0	0	0	0	-2.067e+13	2.7033e+13	0.0047405	0.045828	0.9965	0.0040412	0	0	0	0	-2.3244e+12	9.959e+12	0.0047405	0.045828	0.9965	0.0040412	0	0	0	0	1.3302e+18	6.9019e+17	0.0047405	0.045828	0.9965	0.0040412	0	0	0	0	2.981e+43	3.2148e+41	0.0047405	0.045828	0.9965	0.0040412	0	0	0	0	4.3489e+15	7.6327e+14	0.0047405	0.045828	0.9965	0.0040412	0	0	0	0	-2.8162e+14	5.5795e+15	0.0047405	0.045828	0.9965	0.0040412	0	0	0	0	2.3234e-05	0.0017371	0.00028857	8	7.3906	5.261	-0.081531	0.04363	0.00026176	0.00012058	-2.5627e-07	1.1106e-07	16570	2700.7	10	0.01	1e-20	1e+20	0.001	1e-25		5.3516e+06	184.9	8.958e+06	1.6739	2.2649e+06	Avantes	-4	219.21	934	656	0	37.766	0		15.016	0	2047	0	8.9646e+06	2047	6675.3	0	0	COVERT_,-4.0,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 116.924469930509 SZA: 52.3428241429921 LAZ: 101.423169982425 LAZ: 96.7086796573986 Date: 9/9/2013 07:56:42 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:56:42 AM	7:56:42 AM	9/9/2013	9/9/2013 7:59:45 AM	7:59:45 AM	0	00:00:00	Corrected	COVERT_							5.1299e+12
-1	0	-0.00091665	7.1632e-05	1	4.9044e-06	0	0	0	0	-1.1956e+25	3.4396e+23	-0.00091665	7.1632e-05	1	4.9044e-06	0	0	0	0	-1.0887e+25	1.5037e+24	-0.00091665	7.1632e-05	1	4.9044e-06	0	0	0	0	3.8486e+17	1.9006e+17	0.015413	0.047345	0.99553	0.0041944	0	0	0	0	6.5559e+12	2.1829e+13	0.015413	0.047345	0.99553	0.0041944	0	0	0	0	9.6193e+12	8.0249e+12	0.015413	0.047345	0.99553	0.0041944	0	0	0	0	1.1511e+18	5.5737e+17	0.015413	0.047345	0.99553	0.0041944	0	0	0	0	2.4146e+43	2.5836e+41	0.015413	0.047345	0.99553	0.0041944	0	0	0	0	1.1121e+15	6.1444e+14	0.015413	0.047345	0.99553	0.0041944	0	0	0	0	-6.0683e+15	4.4886e+15	0.015413	0.047345	0.99553	0.0041944	0	0	0	0	1.5103e-05	0.0012514	0.00023266	9	-11.676	4.2306	0.078438	0.035084	-0.00018539	9.696e-05	1.6003e-07	8.9302e-08	15560	2164.4	10	0.01	1e-20	1e+20	0.001	1e-25		5.3706e+06	184.9	8.9831e+06	1.6726	2.2742e+06	Avantes	0.9	189.72	934	656	0	37.766	0		15.016	0	2047	0	8.9897e+06	2047	6580.3	0	0	COVERT_,0.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 117.626292337827 SZA: 51.7928833723744 LAZ: 101.878779240159 LAZ: 96.1277072200193 Date: 9/9/2013 07:59:50 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:59:50 AM	7:59:50 AM	9/9/2013	9/9/2013 8:02:30 AM	8:02:30 AM	0	00:00:00	Corrected	COVERT_							5.1719e+12
-1	0	-0.0012548	7.3054e-05	1	4.9976e-06	0	0	0	0	-1.3835e+25	3.501e+23	-0.0012548	7.3054e-05	1	4.9976e-06	0	0	0	0	-1.8464e+25	1.5305e+24	-0.0012548	7.3054e-05	1	4.9976e-06	0	0	0	0	8.6394e+17	1.9559e+17	-0.037689	0.050635	1.0008	0.0044653	0	0	0	0	6.5969e+13	2.2103e+13	-0.037689	0.050635	1.0008	0.0044653	0	0	0	0	3.0032e+13	8.1986e+12	-0.037689	0.050635	1.0008	0.0044653	0	0	0	0	1.159e+18	5.6559e+17	-0.037689	0.050635	1.0008	0.0044653	0	0	0	0	2.0548e+43	2.6189e+41	-0.037689	0.050635	1.0008	0.0044653	0	0	0	0	1.3104e+15	6.2858e+14	-0.037689	0.050635	1.0008	0.0044653	0	0	0	0	-1.6852e+15	4.5915e+15	-0.037689	0.050635	1.0008	0.0044653	0	0	0	0	1.5705e-05	0.0014558	0.00023726	9	-15.207	4.3366	0.10764	0.035965	-0.00026128	9.94e-05	2.2246e-07	9.1553e-08	19695	2344.1	10	0.01	1e-20	1e+20	0.001	1e-25		5.4307e+06	184.9	8.9835e+06	1.6542	2.2581e+06	Avantes	5.9	196.76	934	656	0	37.766	0		15.016	0	2047	0	8.9897e+06	2047	6228.8	0	0	COVERT_,5.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 118.250301818097 SZA: 51.3131401429368 LAZ: 102.279256509257 LAZ: 95.6186275712 Date: 9/9/2013 08:02:35 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:02:35 AM	8:02:35 AM	9/9/2013	9/9/2013 8:05:19 AM	8:05:19 AM	0	00:00:00	Corrected	COVERT_							5.0989e+12
-1	0	-0.00089697	6.3418e-05	1	4.3417e-06	0	0	0	0	-7.2208e+24	3.1008e+23	-0.00089697	6.3418e-05	1	4.3417e-06	0	0	0	0	-7.8897e+24	1.3487e+24	-0.00089697	6.3418e-05	1	4.3417e-06	0	0	0	0	1.8243e+18	1.7112e+17	0.030726	0.038195	0.99609	0.0032874	0	0	0	0	1.6768e+14	1.9492e+13	0.030726	0.038195	0.99609	0.0032874	0	0	0	0	8.428e+13	7.196e+12	0.030726	0.038195	0.99609	0.0032874	0	0	0	0	3.9954e+17	4.9941e+17	0.030726	0.038195	0.99609	0.0032874	0	0	0	0	1.461e+43	2.3029e+41	0.030726	0.038195	0.99609	0.0032874	0	0	0	0	8.9897e+14	5.5074e+14	0.030726	0.038195	0.99609	0.0032874	0	0	0	0	8.2646e+14	4.0037e+15	0.030726	0.038195	0.99609	0.0032874	0	0	0	0	1.2133e-05	0.0010808	0.00020854	7	-9.2954	3.7929	0.061925	0.031454	-0.00014318	8.6928e-05	1.2054e-07	8.0062e-08	15874	2055.4	10	0.01	1e-20	1e+20	0.001	1e-25		5.464e+06	184.9	8.9789e+06	1.6433	2.2914e+06	Avantes	10.8	208.67	934	656	0	37.766	0		15.016	0	2047	0	8.9858e+06	2047	6883.6	0	0	COVERT_,10.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 118.897451874861 SZA: 50.8246938635211 LAZ: 102.690097809374 LAZ: 95.0980268512497 Date: 9/9/2013 08:05:24 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:05:24 AM	8:05:24 AM	9/9/2013	9/9/2013 8:08:17 AM	8:08:17 AM	0	00:00:00	Corrected	COVERT_							5.2504e+12
-1	0	-0.00065806	6.6157e-05	1	4.5347e-06	0	0	0	0	-3.9024e+24	3.2627e+23	-0.00065806	6.6157e-05	1	4.5347e-06	0	0	0	0	-5.9977e+24	1.4151e+24	-0.00065806	6.6157e-05	1	4.5347e-06	0	0	0	0	2.466e+18	1.7759e+17	0.083954	0.032901	0.99084	0.0027494	0	0	0	0	2.5025e+14	2.05e+13	0.083954	0.032901	0.99084	0.0027494	0	0	0	0	1.2744e+14	7.534e+12	0.083954	0.032901	0.99084	0.0027494	0	0	0	0	-2.8307e+17	5.2487e+17	0.083954	0.032901	0.99084	0.0027494	0	0	0	0	1.0405e+43	2.418e+41	0.083954	0.032901	0.99084	0.0027494	0	0	0	0	5.0886e+14	5.759e+14	0.083954	0.032901	0.99084	0.0027494	0	0	0	0	-2.8317e+15	4.1733e+15	0.083954	0.032901	0.99084	0.0027494	0	0	0	0	1.334e-05	0.0012686	0.00021866	6	-3.608	3.9526	0.015488	0.032778	-1.4664e-05	9.0585e-05	5.9012e-10	8.3428e-08	16493	2209.4	10	0.01	1e-20	1e+20	0.001	1e-25		5.4946e+06	184.9	8.983e+06	1.6349	2.3054e+06	Avantes	15.7	206.55	934	656	0	37.766	0		15.016	0	2047	0	8.9895e+06	2047	6556	0	0	COVERT_,15.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 119.584161033149 SZA: 50.3164101491873 LAZ: 103.121169450885 LAZ: 94.5537031967659 Date: 9/9/2013 08:08:21 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:08:21 AM	8:08:21 AM	9/9/2013	9/9/2013 8:11:13 AM	8:11:13 AM	0	00:00:00	Corrected	COVERT_							5.3148e+12
-1	0	0.00011058	6.5881e-05	1	4.5226e-06	0	0	0	0	1.2714e+24	3.2833e+23	0.00011058	6.5881e-05	1	4.5226e-06	0	0	0	0	-2.9321e+24	1.4162e+24	0.00011058	6.5881e-05	1	4.5226e-06	0	0	0	0	3.6852e+18	1.7823e+17	0.069858	0.026459	0.99191	0.0020735	0	0	0	0	3.3985e+14	2.049e+13	0.069858	0.026459	0.99191	0.0020735	0	0	0	0	1.6516e+14	7.5441e+12	0.069858	0.026459	0.99191	0.0020735	0	0	0	0	-1.0241e+18	5.2531e+17	0.069858	0.026459	0.99191	0.0020735	0	0	0	0	6.6482e+42	2.4067e+41	0.069858	0.026459	0.99191	0.0020735	0	0	0	0	-3.7444e+13	5.7689e+14	0.069858	0.026459	0.99191	0.0020735	0	0	0	0	-5.3179e+15	4.1902e+15	0.069858	0.026459	0.99191	0.0020735	0	0	0	0	1.3373e-05	0.0011448	0.00021893	4	4.5582	3.9668	-0.052325	0.032896	0.00017252	9.0913e-05	-1.7121e-07	8.3731e-08	12971	2189	10	0.01	1e-20	1e+20	0.001	1e-25		5.4721e+06	184.9	8.9832e+06	1.6416	2.3228e+06	Avantes	20.7	194.25	934	656	0	37.766	0		15.016	0	2047	0	8.9893e+06	2047	6050.1	0	0	COVERT_,20.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 120.280245906969 SZA: 49.8116041879969 LAZ: 103.553115331669 LAZ: 94.0103543675278 Date: 9/9/2013 08:11:18 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:11:18 AM	8:11:18 AM	9/9/2013	9/9/2013 8:13:59 AM	8:13:59 AM	0	00:00:00	Corrected	COVERT_							5.3955e+12
-1	0	-4.1709e-05	7.425e-05	1	5.0919e-06	0	0	0	0	-1.4708e+24	3.6829e+23	-4.1709e-05	7.425e-05	1	5.0919e-06	0	0	0	0	-4.9268e+24	1.5915e+24	-4.1709e-05	7.425e-05	1	5.0919e-06	0	0	0	0	2.239e+18	1.9927e+17	0.086983	0.037667	0.99014	0.0032401	0	0	0	0	2.957e+14	2.3037e+13	0.086983	0.037667	0.99014	0.0032401	0	0	0	0	1.221e+14	8.4789e+12	0.086983	0.037667	0.99014	0.0032401	0	0	0	0	-8.7256e+17	5.8961e+17	0.086983	0.037667	0.99014	0.0032401	0	0	0	0	5.1126e+42	2.7113e+41	0.086983	0.037667	0.99014	0.0032401	0	0	0	0	-2.1547e+14	6.4782e+14	0.086983	0.037667	0.99014	0.0032401	0	0	0	0	3.1311e+13	4.6873e+15	0.086983	0.037667	0.99014	0.0032401	0	0	0	0	1.6886e-05	0.0015088	0.00024602	4	-7.8449	4.4437	0.053722	0.036851	-0.00012433	0.00010184	1.0182e-07	9.3798e-08	16865	2575.7	10	0.01	1e-20	1e+20	0.001	1e-25		5.5299e+06	184.9	8.9645e+06	1.6211	2.2863e+06	Avantes	25.6	194.72	934	656	0	37.766	0		15.016	0	2047	0	8.9709e+06	2047	6358.8	0	0	COVERT_,25.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 120.941815044295 SZA: 49.3414400171837 LAZ: 103.959078022389 LAZ: 93.5016889411381 Date: 9/9/2013 08:14:04 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:14:04 AM	8:14:04 AM	9/9/2013	9/9/2013 8:16:45 AM	8:16:45 AM	0	00:00:00	Corrected	COVERT_							5.2271e+12
-1	0	0.00023725	6.0963e-05	1	4.1739e-06	0	0	0	0	-6.7542e+24	2.9845e+23	0.00023725	6.0963e-05	1	4.1739e-06	0	0	0	0	-7.0602e+24	1.2928e+24	0.00023725	6.0963e-05	1	4.1739e-06	0	0	0	0	7.2202e+17	1.6061e+17	-0.038061	0.076762	0.99327	0.0068208	0	0	0	0	1.1096e+14	1.8693e+13	-0.038061	0.076762	0.99327	0.0068208	0	0	0	0	3.9883e+13	6.9306e+12	-0.038061	0.076762	0.99327	0.0068208	0	0	0	0	2.1663e+17	4.7487e+17	-0.038061	0.076762	0.99327	0.0068208	0	0	0	0	4.7016e+42	2.192e+41	-0.038061	0.076762	0.99327	0.0068208	0	0	0	0	5.7509e+14	5.2973e+14	-0.038061	0.076762	0.99327	0.0068208	0	0	0	0	5.1093e+15	3.8637e+15	-0.038061	0.076762	0.99327	0.0068208	0	0	0	0	1.1216e-05	0.0011047	0.00020049	6	-5.6994	3.6372	0.042088	0.030168	-0.00010379	8.3386e-05	8.656e-08	7.6812e-08	5227.2	1917.6	10	0.01	1e-20	1e+20	0.001	1e-25		4.8001e+06	184.9	8.9907e+06	1.873	1.9761e+06	Avantes	30.6	200.5	934	656	0	37.766	0		15.016	0	2047	0	8.9969e+06	2047	6142.5	0	0	COVERT_,30.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 121.612062642527 SZA: 48.8745472367525 LAZ: 104.36593710762 LAZ: 92.9939383617027 Date: 9/9/2013 08:16:50 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:16:50 AM	8:16:50 AM	9/9/2013	9/9/2013 8:19:37 AM	8:19:37 AM	0	00:00:00	Corrected	COVERT_							3.9051e+12
-1	0	0.00018488	5.4193e-05	1	3.7138e-06	0	0	0	0	-6.3978e+24	2.6477e+23	0.00018488	5.4193e-05	1	3.7138e-06	0	0	0	0	-8.3028e+24	1.1483e+24	0.00018488	5.4193e-05	1	3.7138e-06	0	0	0	0	2.3274e+17	1.4164e+17	-0.060208	0.13885	0.9918	0.012576	0	0	0	0	4.9658e+13	1.6581e+13	-0.060208	0.13885	0.9918	0.012576	0	0	0	0	1.7355e+13	6.1534e+12	-0.060208	0.13885	0.9918	0.012576	0	0	0	0	4.6932e+17	4.2025e+17	-0.060208	0.13885	0.9918	0.012576	0	0	0	0	3.1191e+42	1.9412e+41	-0.060208	0.13885	0.9918	0.012576	0	0	0	0	1.3287e+14	4.7013e+14	-0.060208	0.13885	0.9918	0.012576	0	0	0	0	4.9584e+15	3.4326e+15	-0.060208	0.13885	0.9918	0.012576	0	0	0	0	8.8269e-06	0.0010256	0.00017787	6	-8.0878	3.2231	0.064613	0.026734	-0.00017188	7.3898e-05	1.5245e-07	6.8075e-08	-365.64	1646.6	10	0.01	1e-20	1e+20	0.001	1e-25		4.6057e+06	184.9	8.9908e+06	1.9521	1.9102e+06	Avantes	35.5	202.74	934	656	0	37.766	0		15.016	0	2047	0	8.997e+06	2047	6281.5	0	0	COVERT_,35.5,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 122.315917289423 SZA: 48.3943447842417 LAZ: 104.788512939082 LAZ: 92.468830618334 Date: 9/9/2013 08:19:42 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:19:42 AM	8:19:42 AM	9/9/2013	9/9/2013 8:22:30 AM	8:22:30 AM	0	00:00:00	Corrected	COVERT_							3.6488e+12
-1	0	-0.00019067	5.556e-05	0.99999	3.7996e-06	0	0	0	0	-5.8972e+24	2.6896e+23	-0.00019067	5.556e-05	0.99999	3.7996e-06	0	0	0	0	-5.9748e+24	1.1938e+24	-0.00019067	5.556e-05	0.99999	3.7996e-06	0	0	0	0	-4.0708e+17	1.552e+17	-0.097058	0.14046	1.0191	0.011948	0	0	0	0	3.7089e+13	1.6471e+13	-0.097058	0.14046	1.0191	0.011948	0	0	0	0	-1.2723e+13	6.3242e+12	-0.097058	0.14046	1.0191	0.011948	0	0	0	0	1.1836e+18	4.2836e+17	-0.097058	0.14046	1.0191	0.011948	0	0	0	0	2.199e+42	1.9733e+41	-0.097058	0.14046	1.0191	0.011948	0	0	0	0	-1.1558e+15	4.8476e+14	-0.097058	0.14046	1.0191	0.011948	0	0	0	0	1.4655e+16	3.487e+15	-0.097058	0.14046	1.0191	0.011948	0	0	0	0	9.1619e-06	0.0011395	0.00018121	18	-14.672	3.3655	0.12094	0.027913	-0.00033125	7.715e-05	3.0117e-07	7.1065e-08	-6210.3	1626.6	10	0.01	1e-20	1e+20	0.001	1e-25		4.4825e+06	184.9	8.9899e+06	2.0055	1.8739e+06	Avantes	40.4	205.96	934	656	0	37.766	0		15.016	0	2047	0	8.9962e+06	2047	6290.6	0	0	COVERT_,40.4,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 123.033733891749 SZA: 47.9151344965302 LAZ: 105.214651646551 LAZ: 91.9417234917566 Date: 9/9/2013 08:22:35 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:22:35 AM	8:22:35 AM	9/9/2013	9/9/2013 8:25:26 AM	8:25:26 AM	0	00:00:00	Corrected	COVERT_							3.5117e+12
