Fit Coefficient (RefSpec)	Fit Coefficient Error (RefSpec)	Shift (RefSpec)	Shift Error (RefSpec)	Squeeze (RefSpec)	Squeeze Error (RefSpec)	Quadratic Squeeze (RefSpec)	Quadratic Squeeze Error (RefSpec)	Cubic Squeeze (RefSpec)	Cubic Squeeze Error (RefSpec)	Fit Coefficient (RingSpec)	Fit Coefficient Error (RingSpec)	Shift (RingSpec)	Shift Error (RingSpec)	Squeeze (RingSpec)	Squeeze Error (RingSpec)	Quadratic Squeeze (RingSpec)	Quadratic Squeeze Error (RingSpec)	Cubic Squeeze (RingSpec)	Cubic Squeeze Error (RingSpec)	Fit Coefficient (Ring4)	Fit Coefficient Error (Ring4)	Shift (Ring4)	Shift Error (Ring4)	Squeeze (Ring4)	Squeeze Error (Ring4)	Quadratic Squeeze (Ring4)	Quadratic Squeeze Error (Ring4)	Cubic Squeeze (Ring4)	Cubic Squeeze Error (Ring4)	Fit Coefficient (SO2_Hermans_298_air_conv)	Fit Coefficient Error (SO2_Hermans_298_air_conv)	Shift (SO2_Hermans_298_air_conv)	Shift Error (SO2_Hermans_298_air_conv)	Squeeze (SO2_Hermans_298_air_conv)	Squeeze Error (SO2_Hermans_298_air_conv)	Quadratic Squeeze (SO2_Hermans_298_air_conv)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv)	Cubic Squeeze (SO2_Hermans_298_air_conv)	Cubic Squeeze Error (SO2_Hermans_298_air_conv)	Fit Coefficient (o3_221K_air_burrows_1999_conv)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv)	Shift (o3_221K_air_burrows_1999_conv)	Shift Error (o3_221K_air_burrows_1999_conv)	Squeeze (o3_221K_air_burrows_1999_conv)	Squeeze Error (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv)	Cubic Squeeze (o3_221K_air_burrows_1999_conv)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	0.0013235	0.0003414	0.99997	6.4131e-05	0	0	0	0	-9.1806e+24	1.0711e+24	0.0013235	0.0003414	0.99997	6.4131e-05	0	0	0	0	5.6097e+25	1.4274e+25	0.0013235	0.0003414	0.99997	6.4131e-05	0	0	0	0	7.0474e+17	1.3755e+16	-0.082092	0.0026595	1.001	0.00054096	0	0	0	0	4.5603e+18	3.7737e+16	-0.082092	0.0026595	1.001	0.00054096	0	0	0	0	9.5932e-05	0.0048518	0.0008368	24	816.62	159.5	-7.6929	1.487	0.024092	0.0046202	-2.5098e-05	4.7847e-06	3262.7	4887.3	10	0.01	1e-20	1e+20	0.001	1e-25		5.1653e+06	184.9	8.95e+06	1.7327	2.3802e+06	Avantes	-4.2	334.55	388	252	0	37.766	0		15.016	0	2047	0	8.957e+06	2047	7008.6	0	0	COVERT_,-4.2,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 101.49404925449 SZA: 67.2895784247221 LAZ: 89.7110230523377 LAZ: 111.801134743195 Date: 9/9/2013 06:36:29 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:36:29 AM	6:36:29 AM	9/9/2013	9/9/2013 6:41:03 AM	6:41:03 AM	0	00:00:00	Corrected	COVERT_							5.6655e+12
-1	0	0.0016249	0.00028121	0.99992	5.2872e-05	0	0	0	0	-7.9152e+24	9.0007e+23	0.0016249	0.00028121	0.99992	5.2872e-05	0	0	0	0	4.8436e+25	1.1572e+25	0.0016249	0.00028121	0.99992	5.2872e-05	0	0	0	0	4.6458e+17	1.1458e+16	-0.081025	0.0027482	1.0011	0.00053784	0	0	0	0	4.0208e+18	3.0783e+16	-0.081025	0.0027482	1.0011	0.00053784	0	0	0	0	6.4602e-05	0.0036258	0.00068668	23	382.78	130.99	-3.6404	1.2211	0.011475	0.0037943	-1.2007e-05	3.9295e-06	3227.4	4196.1	10	0.01	1e-20	1e+20	0.001	1e-25		5.1845e+06	184.9	8.9798e+06	1.732	2.3855e+06	Avantes	0.9	253.94	388	252	0	37.766	0		15.016	0	2047	0	8.9863e+06	2047	6526.6	0	0	COVERT_,0.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 102.288244669205 SZA: 66.3908749657669 LAZ: 90.4079220665645 LAZ: 110.920414989132 Date: 9/9/2013 06:41:08 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:41:08 AM	6:41:08 AM	9/9/2013	9/9/2013 6:44:37 AM	6:44:37 AM	0	00:00:00	Corrected	COVERT_							5.6908e+12
-1	0	0.0013421	0.00031782	0.99994	5.9652e-05	0	0	0	0	-6.6009e+24	1.021e+24	0.0013421	0.00031782	0.99994	5.9652e-05	0	0	0	0	5.5625e+25	1.3098e+25	0.0013421	0.00031782	0.99994	5.9652e-05	0	0	0	0	6.1287e+17	1.2938e+16	-0.086791	0.0029764	1.002	0.00061019	0	0	0	0	3.7318e+18	3.4798e+16	-0.086791	0.0029764	1.002	0.00061019	0	0	0	0	8.3992e-05	0.0045076	0.00078299	24	667.81	147.28	-6.2947	1.3731	0.019721	0.0042668	-2.0547e-05	4.419e-06	408.7	5323.9	10	0.01	1e-20	1e+20	0.001	1e-25		5.2503e+06	184.9	8.9778e+06	1.71	2.3199e+06	Avantes	5.9	231.3	388	252	0	37.766	0		15.016	0	2047	0	8.9841e+06	2047	6264.7	0	0	COVERT_,5.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 102.903568236011 SZA: 65.7033868108261 LAZ: 90.9396817012232 LAZ: 110.244926691115 Date: 9/9/2013 06:44:42 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:44:42 AM	6:44:42 AM	9/9/2013	9/9/2013 6:47:57 AM	6:47:57 AM	0	00:00:00	Corrected	COVERT_							5.3818e+12
-1	0	6.2777e-05	0.00059817	1	0.0001108	0	0	0	0	-1.2778e+24	1.9138e+24	6.2777e-05	0.00059817	1	0.0001108	0	0	0	0	9.77e+25	2.5492e+25	6.2777e-05	0.00059817	1	0.0001108	0	0	0	0	1.5605e+18	2.4497e+16	-0.09974	0.0037345	1.0024	0.0009459	0	0	0	0	3.043e+18	6.5944e+16	-0.09974	0.0037345	1.0024	0.0009459	0	0	0	0	0.00031579	0.0090161	0.0015182	36	1854.4	279.77	-17.357	2.6088	0.054103	0.0081079	-5.617e-05	8.3984e-06	-3403.7	10441	10	0.01	1e-20	1e+20	0.001	1e-25		5.3332e+06	184.9	8.9788e+06	1.6836	2.3255e+06	Avantes	10.8	233.95	388	252	0	37.766	0		15.016	0	2047	0	8.985e+06	2047	6175.8	0	0	COVERT_,10.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 103.48080018302 SZA: 65.0656114254563 LAZ: 91.4321779872929 LAZ: 109.616878610883 Date: 9/9/2013 06:48:01 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:48:01 AM	6:48:01 AM	9/9/2013	9/9/2013 6:51:16 AM	6:51:16 AM	0	00:00:00	Corrected	COVERT_							5.4077e+12
-1	0	-0.00059332	0.000714	1.0001	0.00013157	0	0	0	0	3.4911e+24	2.3108e+24	-0.00059332	0.000714	1.0001	0.00013157	0	0	0	0	9.3393e+25	3.0901e+25	-0.00059332	0.000714	1.0001	0.00013157	0	0	0	0	1.9357e+18	2.9822e+16	-0.099816	0.004023	1.0014	0.0010908	0	0	0	0	2.57e+18	7.9191e+16	-0.099816	0.004023	1.0014	0.0010908	0	0	0	0	0.00046423	0.010483	0.0018408	35	2411.8	335.79	-22.555	3.1314	0.070268	0.0097327	-7.2927e-05	1.0082e-05	2517.6	13149	10	0.01	1e-20	1e+20	0.001	1e-25		5.3849e+06	184.9	8.9812e+06	1.6678	2.3271e+06	Avantes	15.7	225	388	252	0	37.766	0		15.016	0	2047	0	8.9874e+06	2047	6169.1	0	0	COVERT_,15.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 104.066039705292 SZA: 64.4261914837997 LAZ: 91.9253634989398 LAZ: 108.985813228345 Date: 9/9/2013 06:51:21 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:51:21 AM	6:51:21 AM	9/9/2013	9/9/2013 6:54:28 AM	6:54:28 AM	0	00:00:00	Corrected	COVERT_							5.4153e+12
-1	0	-0.001207	0.00079216	1.0001	0.00014499	0	0	0	0	4.6807e+24	2.4037e+24	-0.001207	0.00079216	1.0001	0.00014499	0	0	0	0	1.0354e+26	3.589e+25	-0.001207	0.00079216	1.0001	0.00014499	0	0	0	0	2.1914e+18	3.3381e+16	-0.099903	0.0041884	1.0008	0.0011845	0	0	0	0	2.1632e+18	8.7586e+16	-0.099903	0.0041884	1.0008	0.0011845	0	0	0	0	0.00057538	0.011443	0.0020494	35	2688	368.55	-25.129	3.4373	0.078266	0.010685	-8.1218e-05	1.1069e-05	-1.5622e+05	13072	10	0.01	1e-20	1e+20	0.001	1e-25		6.4641e+06	184.9	3.2863e+06	0.5084	6.3023e+05	Avantes	20.7	234.5	388	252	0	37.766	0		15.016	0	2047	0	7.748e+06	733	4.4617e+06	432	0	COVERT_,20.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 104.632885736678 SZA: 63.8138952991705 LAZ: 92.3972682942139 LAZ: 108.380165252655 Date: 9/9/2013 06:54:33 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:54:33 AM	6:54:33 AM	9/9/2013	9/9/2013 6:57:50 AM	6:57:50 AM	0	00:00:00	Corrected	COVERT_							3.972e+11
-1	0	-0.0011755	0.00072686	1.0002	0.00013282	0	0	0	0	3.0467e+24	2.3847e+24	-0.0011755	0.00072686	1.0002	0.00013282	0	0	0	0	8.6955e+25	3.1e+25	-0.0011755	0.00072686	1.0002	0.00013282	0	0	0	0	2.0961e+18	3.0463e+16	-0.099857	0.0041141	0.99984	0.001186	0	0	0	0	1.7638e+18	7.9881e+16	-0.099857	0.0041141	0.99984	0.001186	0	0	0	0	0.00048292	0.010073	0.0018775	43	2733.1	340.27	-25.543	3.1736	0.079538	0.0098653	-8.2528e-05	1.0221e-05	-2965.8	15831	10	0.01	1e-20	1e+20	0.001	1e-25		5.4913e+06	184.9	8.9082e+06	1.6223	2.3257e+06	Avantes	26	240.65	388	252	0	37.766	0		15.016	0	2047	0	8.9147e+06	2047	6411.4	0	0	COVERT_,26.0,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 105.231782228208 SZA: 63.1746027709366 LAZ: 92.8897987299442 LAZ: 107.746356436197 Date: 9/9/2013 06:57:54 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:57:54 AM	6:57:54 AM	9/9/2013	9/9/2013 7:01:13 AM	7:01:13 AM	0	00:00:00	Corrected	COVERT_							5.4091e+12
-1	0	0.00022545	0.00019327	1	3.6358e-05	0	0	0	0	-2.6639e+24	6.6578e+23	0.00022545	0.00019327	1	3.6358e-05	0	0	0	0	1.2709e+25	7.4543e+24	0.00022545	0.00019327	1	3.6358e-05	0	0	0	0	3.8817e+17	8.1762e+15	-0.094141	0.0035786	1.0027	0.00078093	0	0	0	0	1.6236e+18	2.0862e+16	-0.094141	0.0035786	1.0027	0.00078093	0	0	0	0	3.2371e-05	0.00285	0.00048609	22	600.41	88.294	-5.6243	0.82356	0.01755	0.0025603	-1.8242e-05	2.653e-06	1647.2	5214.3	10	0.01	1e-20	1e+20	0.001	1e-25		4.8181e+06	184.9	8.9886e+06	1.8656	2.0478e+06	Avantes	30.6	263.25	388	252	0	37.766	0		15.016	0	2047	0	8.9949e+06	2047	6318.7	0	0	COVERT_,30.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 105.84255652595 SZA: 62.5308065543229 LAZ: 93.3858165989151 LAZ: 107.106526071875 Date: 9/9/2013 07:01:17 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:01:17 AM	7:01:17 AM	9/9/2013	9/9/2013 7:04:54 AM	7:04:54 AM	0	00:00:00	Corrected	COVERT_							4.1936e+12
-1	0	0.00052332	0.00011217	1	2.1197e-05	0	0	0	0	-2.938e+24	3.8566e+23	0.00052332	0.00011217	1	2.1197e-05	0	0	0	0	1.6978e+24	4.1453e+24	0.00052332	0.00011217	1	2.1197e-05	0	0	0	0	1.2836e+17	4.8064e+15	-0.079817	0.0038259	1.0013	0.00074284	0	0	0	0	1.1956e+18	1.1887e+16	-0.079817	0.0038259	1.0013	0.00074284	0	0	0	0	1.0611e-05	0.0016038	0.00027829	21	268.81	50.329	-2.5238	0.46946	0.0078925	0.0014596	-8.221e-06	1.5125e-06	936.79	3123.5	10	0.01	1e-20	1e+20	0.001	1e-25		4.6029e+06	184.9	8.9883e+06	1.9528	1.9804e+06	Avantes	35.8	273.03	388	252	0	37.766	0		15.016	0	2047	0	8.9944e+06	2047	6053.9	0	0	COVERT_,35.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 106.517589837859 SZA: 61.8289993022596 LAZ: 93.926798244739 LAZ: 106.407194573275 Date: 9/9/2013 07:04:59 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:04:59 AM	7:04:59 AM	9/9/2013	9/9/2013 7:08:44 AM	7:08:44 AM	0	00:00:00	Corrected	COVERT_							3.9221e+12
-1	0	0.00021493	9.1856e-05	1	1.7421e-05	0	0	0	0	-2.4943e+24	3.2059e+23	0.00021493	9.1856e-05	1	1.7421e-05	0	0	0	0	-4.2367e+24	3.3648e+24	0.00021493	9.1856e-05	1	1.7421e-05	0	0	0	0	7.3847e+16	4.0128e+15	-0.06562	0.0049157	0.99904	0.00094367	0	0	0	0	7.8933e+17	9.747e+15	-0.06562	0.0049157	0.99904	0.00094367	0	0	0	0	7.2091e-06	0.0011944	0.00022939	18	159.43	41.506	-1.4944	0.38717	0.0046669	0.0012038	-4.8558e-06	1.2474e-06	-1054.6	2644.8	10	0.01	1e-20	1e+20	0.001	1e-25		4.5121e+06	184.9	8.9882e+06	1.992	1.9503e+06	Avantes	40.4	280.19	388	252	0	37.766	0		15.016	0	2047	0	8.9943e+06	2047	6090.7	0	0	COVERT_,40.4,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 107.225100003516 SZA: 61.1045054381493 LAZ: 94.4858506042309 LAZ: 105.683150482156 Date: 9/9/2013 07:08:49 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:08:49 AM	7:08:49 AM	9/9/2013	9/9/2013 7:12:39 AM	7:12:39 AM	0	00:00:00	Corrected	COVERT_							3.8035e+12
