Fit Coefficient (RefSpec)	Fit Coefficient Error (RefSpec)	Shift (RefSpec)	Shift Error (RefSpec)	Squeeze (RefSpec)	Squeeze Error (RefSpec)	Quadratic Squeeze (RefSpec)	Quadratic Squeeze Error (RefSpec)	Cubic Squeeze (RefSpec)	Cubic Squeeze Error (RefSpec)	Fit Coefficient (RingSpec)	Fit Coefficient Error (RingSpec)	Shift (RingSpec)	Shift Error (RingSpec)	Squeeze (RingSpec)	Squeeze Error (RingSpec)	Quadratic Squeeze (RingSpec)	Quadratic Squeeze Error (RingSpec)	Cubic Squeeze (RingSpec)	Cubic Squeeze Error (RingSpec)	Fit Coefficient (Ring4)	Fit Coefficient Error (Ring4)	Shift (Ring4)	Shift Error (Ring4)	Squeeze (Ring4)	Squeeze Error (Ring4)	Quadratic Squeeze (Ring4)	Quadratic Squeeze Error (Ring4)	Cubic Squeeze (Ring4)	Cubic Squeeze Error (Ring4)	Fit Coefficient (SO2_Hermans_298_air_conv)	Fit Coefficient Error (SO2_Hermans_298_air_conv)	Shift (SO2_Hermans_298_air_conv)	Shift Error (SO2_Hermans_298_air_conv)	Squeeze (SO2_Hermans_298_air_conv)	Squeeze Error (SO2_Hermans_298_air_conv)	Quadratic Squeeze (SO2_Hermans_298_air_conv)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv)	Cubic Squeeze (SO2_Hermans_298_air_conv)	Cubic Squeeze Error (SO2_Hermans_298_air_conv)	Fit Coefficient (BrO_Wil298_Air_conv)	Fit Coefficient Error (BrO_Wil298_Air_conv)	Shift (BrO_Wil298_Air_conv)	Shift Error (BrO_Wil298_Air_conv)	Squeeze (BrO_Wil298_Air_conv)	Squeeze Error (BrO_Wil298_Air_conv)	Quadratic Squeeze (BrO_Wil298_Air_conv)	Quadratic Squeeze Error (BrO_Wil298_Air_conv)	Cubic Squeeze (BrO_Wil298_Air_conv)	Cubic Squeeze Error (BrO_Wil298_Air_conv)	Fit Coefficient (OClO_293K_Bogumil_2003_conv)	Fit Coefficient Error (OClO_293K_Bogumil_2003_conv)	Shift (OClO_293K_Bogumil_2003_conv)	Shift Error (OClO_293K_Bogumil_2003_conv)	Squeeze (OClO_293K_Bogumil_2003_conv)	Squeeze Error (OClO_293K_Bogumil_2003_conv)	Quadratic Squeeze (OClO_293K_Bogumil_2003_conv)	Quadratic Squeeze Error (OClO_293K_Bogumil_2003_conv)	Cubic Squeeze (OClO_293K_Bogumil_2003_conv)	Cubic Squeeze Error (OClO_293K_Bogumil_2003_conv)	Fit Coefficient (o3_221K_air_burrows_1999_conv)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv)	Shift (o3_221K_air_burrows_1999_conv)	Shift Error (o3_221K_air_burrows_1999_conv)	Squeeze (o3_221K_air_burrows_1999_conv)	Squeeze Error (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv)	Cubic Squeeze (o3_221K_air_burrows_1999_conv)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv)	Fit Coefficient (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Fit Coefficient Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Shift (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Shift Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Quadratic Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Quadratic Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Cubic Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Cubic Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Fit Coefficient (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Fit Coefficient Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Shift (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Shift Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Quadratic Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Quadratic Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Cubic Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Cubic Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Fit Coefficient (HCHO_meller_conv)	Fit Coefficient Error (HCHO_meller_conv)	Shift (HCHO_meller_conv)	Shift Error (HCHO_meller_conv)	Squeeze (HCHO_meller_conv)	Squeeze Error (HCHO_meller_conv)	Quadratic Squeeze (HCHO_meller_conv)	Quadratic Squeeze Error (HCHO_meller_conv)	Cubic Squeeze (HCHO_meller_conv)	Cubic Squeeze Error (HCHO_meller_conv)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	0.0018033	0.00010128	1	6.9351e-06	0	0	0	0	-1.0254e+25	4.7524e+23	0.0018033	0.00010128	1	6.9351e-06	0	0	0	0	-6.3811e+24	2.0951e+24	0.0018033	0.00010128	1	6.9351e-06	0	0	0	0	-8.6404e+15	2.6249e+17	-0.025669	0.043035	0.99921	0.0038335	0	0	0	0	2.0984e+13	2.9937e+13	-0.025669	0.043035	0.99921	0.0038335	0	0	0	0	2.9765e+12	1.1032e+13	-0.025669	0.043035	0.99921	0.0038335	0	0	0	0	4.6738e+18	7.6471e+17	-0.025669	0.043035	0.99921	0.0038335	0	0	0	0	3.0927e+43	3.5638e+41	-0.025669	0.043035	0.99921	0.0038335	0	0	0	0	4.119e+15	8.4596e+14	-0.025669	0.043035	0.99921	0.0038335	0	0	0	0	8.9301e+15	6.2093e+15	-0.025669	0.043035	0.99921	0.0038335	0	0	0	0	2.8521e-05	0.0017957	0.00031971	6	13.864	5.8454	-0.13968	0.048477	0.00042782	0.00013398	-4.0925e-07	1.234e-07	-83.478	2791.3	10	0.01	1e-20	1e+20	0.001	1e-25		5.1653e+06	184.9	8.95e+06	1.7327	2.3802e+06	Avantes	-4.2	334.55	934	656	0	37.766	0		15.016	0	2047	0	8.957e+06	2047	7008.6	0	0	COVERT_,-4.2,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 101.49404925449 SZA: 67.2895784247221 LAZ: 89.7110230523377 LAZ: 111.801134743195 Date: 9/9/2013 06:36:29 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:36:29 AM	6:36:29 AM	9/9/2013	9/9/2013 6:41:03 AM	6:41:03 AM	0	00:00:00	Corrected	COVERT_							5.6655e+12
-1	0	0.001519	8.7586e-05	1	6.002e-06	0	0	0	0	-8.4583e+24	4.1347e+23	0.001519	8.7586e-05	1	6.002e-06	0	0	0	0	-7.0391e+24	1.8189e+24	0.001519	8.7586e-05	1	6.002e-06	0	0	0	0	-2.0222e+17	2.2804e+17	-0.0041015	0.043732	0.99699	0.0039077	0	0	0	0	1.0416e+13	2.5986e+13	-0.0041015	0.043732	0.99699	0.0039077	0	0	0	0	1.5063e+12	9.5867e+12	-0.0041015	0.043732	0.99699	0.0039077	0	0	0	0	4.1879e+18	6.6379e+17	-0.0041015	0.043732	0.99699	0.0039077	0	0	0	0	2.6868e+43	3.0803e+41	-0.0041015	0.043732	0.99699	0.0039077	0	0	0	0	2.2377e+15	7.3509e+14	-0.0041015	0.043732	0.99699	0.0039077	0	0	0	0	4.5115e+15	5.4042e+15	-0.0041015	0.043732	0.99699	0.0039077	0	0	0	0	2.153e-05	0.0016438	0.00027777	5	-0.75856	5.0798	-0.018089	0.042129	9.0923e-05	0.00011643	-9.8249e-08	1.0724e-07	-12.034	2419.2	10	0.01	1e-20	1e+20	0.001	1e-25		5.1845e+06	184.9	8.9798e+06	1.732	2.3855e+06	Avantes	0.9	253.94	934	656	0	37.766	0		15.016	0	2047	0	8.9863e+06	2047	6526.6	0	0	COVERT_,0.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 102.288244669205 SZA: 66.3908749657669 LAZ: 90.4079220665645 LAZ: 110.920414989132 Date: 9/9/2013 06:41:08 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:41:08 AM	6:41:08 AM	9/9/2013	9/9/2013 6:44:37 AM	6:44:37 AM	0	00:00:00	Corrected	COVERT_							5.6908e+12
-1	0	0.0014801	9.095e-05	1	6.2405e-06	0	0	0	0	-1.0167e+25	4.2948e+23	0.0014801	9.095e-05	1	6.2405e-06	0	0	0	0	-1.793e+25	1.8875e+24	0.0014801	9.095e-05	1	6.2405e-06	0	0	0	0	-7.3301e+16	2.3803e+17	-0.048773	0.052827	1.0005	0.0047375	0	0	0	0	6.4891e+13	2.6893e+13	-0.048773	0.052827	1.0005	0.0047375	0	0	0	0	2.1953e+13	9.9904e+12	-0.048773	0.052827	1.0005	0.0047375	0	0	0	0	3.3747e+18	6.8778e+17	-0.048773	0.052827	1.0005	0.0047375	0	0	0	0	2.1508e+43	3.1859e+41	-0.048773	0.052827	1.0005	0.0047375	0	0	0	0	2.3671e+15	7.6659e+14	-0.048773	0.052827	1.0005	0.0047375	0	0	0	0	5.9365e+15	5.634e+15	-0.048773	0.052827	1.0005	0.0047375	0	0	0	0	2.3318e-05	0.0020343	0.00028909	5	-3.3628	5.3011	0.0029423	0.043966	4.0157e-05	0.00012152	-6.2065e-08	1.1193e-07	320.06	2719.5	10	0.01	1e-20	1e+20	0.001	1e-25		5.2503e+06	184.9	8.9778e+06	1.71	2.3199e+06	Avantes	5.9	231.3	934	656	0	37.766	0		15.016	0	2047	0	8.9841e+06	2047	6264.7	0	0	COVERT_,5.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 102.903568236011 SZA: 65.7033868108261 LAZ: 90.9396817012232 LAZ: 110.244926691115 Date: 9/9/2013 06:44:42 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:44:42 AM	6:44:42 AM	9/9/2013	9/9/2013 6:47:57 AM	6:47:57 AM	0	00:00:00	Corrected	COVERT_							5.3818e+12
-1	0	0.0012559	8.1108e-05	1	5.5466e-06	0	0	0	0	-2.8812e+24	3.9354e+23	0.0012559	8.1108e-05	1	5.5466e-06	0	0	0	0	-9.4842e+24	1.7146e+24	0.0012559	8.1108e-05	1	5.5466e-06	0	0	0	0	6.5075e+17	2.1482e+17	-0.00068721	0.050472	0.99718	0.0046011	0	0	0	0	1.3031e+14	2.4482e+13	-0.00068721	0.050472	0.99718	0.0046011	0	0	0	0	6.2267e+13	9.0512e+12	-0.00068721	0.050472	0.99718	0.0046011	0	0	0	0	2.8358e+18	6.2576e+17	-0.00068721	0.050472	0.99718	0.0046011	0	0	0	0	1.4377e+43	2.8875e+41	-0.00068721	0.050472	0.99718	0.0046011	0	0	0	0	1.3255e+15	6.9336e+14	-0.00068721	0.050472	0.99718	0.0046011	0	0	0	0	6.2221e+15	5.075e+15	-0.00068721	0.050472	0.99718	0.0046011	0	0	0	0	1.9184e-05	0.0017458	0.00026222	5	-4.01	4.787	0.013086	0.0397	2.6404e-06	0.00010972	-2.1435e-08	1.0106e-07	7114.9	2551.6	10	0.01	1e-20	1e+20	0.001	1e-25		5.3332e+06	184.9	8.9788e+06	1.6836	2.3255e+06	Avantes	10.8	233.95	934	656	0	37.766	0		15.016	0	2047	0	8.985e+06	2047	6175.8	0	0	COVERT_,10.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 103.48080018302 SZA: 65.0656114254563 LAZ: 91.4321779872929 LAZ: 109.616878610883 Date: 9/9/2013 06:48:01 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:48:01 AM	6:48:01 AM	9/9/2013	9/9/2013 6:51:16 AM	6:51:16 AM	0	00:00:00	Corrected	COVERT_							5.4077e+12
-1	0	0.0012831	7.4544e-05	1	5.1009e-06	0	0	0	0	1.6808e+24	3.6809e+23	0.0012831	7.4544e-05	1	5.1009e-06	0	0	0	0	-7.2153e+24	1.5962e+24	0.0012831	7.4544e-05	1	5.1009e-06	0	0	0	0	8.8803e+17	2.0052e+17	-0.0090953	0.042157	0.99878	0.0040235	0	0	0	0	2.2431e+14	2.2727e+13	-0.0090953	0.042157	0.99878	0.0040235	0	0	0	0	7.8899e+13	8.4233e+12	-0.0090953	0.042157	0.99878	0.0040235	0	0	0	0	2.406e+18	5.8215e+17	-0.0090953	0.042157	0.99878	0.0040235	0	0	0	0	1.0161e+43	2.68e+41	-0.0090953	0.042157	0.99878	0.0040235	0	0	0	0	1.0894e+15	6.4519e+14	-0.0090953	0.042157	0.99878	0.0040235	0	0	0	0	3.6457e+15	4.7122e+15	-0.0090953	0.042157	0.99878	0.0040235	0	0	0	0	1.6602e-05	0.0014857	0.00024394	6	-3.2269	4.4558	0.0089709	0.036954	9.8838e-06	0.00010213	-2.6026e-08	9.407e-08	10861	2426.2	10	0.01	1e-20	1e+20	0.001	1e-25		5.3849e+06	184.9	8.9812e+06	1.6678	2.3271e+06	Avantes	15.7	225	934	656	0	37.766	0		15.016	0	2047	0	8.9874e+06	2047	6169.1	0	0	COVERT_,15.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 104.066039705292 SZA: 64.4261914837997 LAZ: 91.9253634989398 LAZ: 108.985813228345 Date: 9/9/2013 06:51:21 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:51:21 AM	6:51:21 AM	9/9/2013	9/9/2013 6:54:28 AM	6:54:28 AM	0	00:00:00	Corrected	COVERT_							5.4153e+12
-1	0	0.0009585	8.7338e-05	1	5.9769e-06	0	0	0	0	1.5635e+24	4.2986e+23	0.0009585	8.7338e-05	1	5.9769e-06	0	0	0	0	-4.9543e+24	1.8736e+24	0.0009585	8.7338e-05	1	5.9769e-06	0	0	0	0	1.2616e+18	2.3352e+17	0.020235	0.040563	0.99503	0.0040615	0	0	0	0	3.2134e+14	2.6639e+13	0.020235	0.040563	0.99503	0.0040615	0	0	0	0	9.8912e+13	9.8745e+12	0.020235	0.040563	0.99503	0.0040615	0	0	0	0	2.0662e+18	6.8492e+17	0.020235	0.040563	0.99503	0.0040615	0	0	0	0	7.7848e+42	3.139e+41	0.020235	0.040563	0.99503	0.0040615	0	0	0	0	1.1444e+15	7.5588e+14	0.020235	0.040563	0.99503	0.0040615	0	0	0	0	4.6073e+15	5.507e+15	0.020235	0.040563	0.99503	0.0040615	0	0	0	0	2.2871e-05	0.0018524	0.00028631	4	-11.457	5.2039	0.080258	0.043157	-0.00019184	0.00011928	1.6149e-07	1.0986e-07	-1.5272e+05	2768.6	10	0.01	1e-20	1e+20	0.001	1e-25		6.4641e+06	184.9	3.2863e+06	0.5084	6.3023e+05	Avantes	20.7	234.5	934	656	0	37.766	0		15.016	0	2047	0	7.748e+06	733	4.4617e+06	432	0	COVERT_,20.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 104.632885736678 SZA: 63.8138952991705 LAZ: 92.3972682942139 LAZ: 108.380165252655 Date: 9/9/2013 06:54:33 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:54:33 AM	6:54:33 AM	9/9/2013	9/9/2013 6:57:50 AM	6:57:50 AM	0	00:00:00	Corrected	COVERT_							3.972e+11
-1	0	0.00094667	7.2311e-05	1	4.9524e-06	0	0	0	0	1.346e+24	3.5889e+23	0.00094667	7.2311e-05	1	4.9524e-06	0	0	0	0	-4.9819e+24	1.5587e+24	0.00094667	7.2311e-05	1	4.9524e-06	0	0	0	0	1.1818e+18	1.944e+17	0.061976	0.037473	0.99489	0.0036672	0	0	0	0	2.8762e+14	2.2169e+13	0.061976	0.037473	0.99489	0.0036672	0	0	0	0	1.1455e+14	8.1977e+12	0.061976	0.037473	0.99489	0.0036672	0	0	0	0	8.4704e+17	5.6849e+17	0.061976	0.037473	0.99489	0.0036672	0	0	0	0	5.467e+42	2.6214e+41	0.061976	0.037473	0.99489	0.0036672	0	0	0	0	-5.9977e+13	6.2656e+14	0.061976	0.037473	0.99489	0.0036672	0	0	0	0	-2.5926e+15	4.5406e+15	0.061976	0.037473	0.99489	0.0036672	0	0	0	0	1.5744e-05	0.0015123	0.00023755	5	-3.3309	4.3143	0.015133	0.035779	-1.5973e-05	9.8881e-05	1.6177e-09	9.1072e-08	17987	2500.2	10	0.01	1e-20	1e+20	0.001	1e-25		5.4913e+06	184.9	8.9082e+06	1.6223	2.3257e+06	Avantes	26	240.65	934	656	0	37.766	0		15.016	0	2047	0	8.9147e+06	2047	6411.4	0	0	COVERT_,26.0,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 105.231782228208 SZA: 63.1746027709366 LAZ: 92.8897987299442 LAZ: 107.746356436197 Date: 9/9/2013 06:57:54 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 6:57:54 AM	6:57:54 AM	9/9/2013	9/9/2013 7:01:13 AM	7:01:13 AM	0	00:00:00	Corrected	COVERT_							5.4091e+12
-1	0	0.0004422	6.9308e-05	1	4.7693e-06	0	0	0	0	-5.6727e+24	3.3155e+23	0.0004422	6.9308e-05	1	4.7693e-06	0	0	0	0	-8.836e+24	1.4483e+24	0.0004422	6.9308e-05	1	4.7693e-06	0	0	0	0	-2.8297e+17	1.813e+17	-0.050263	0.080889	1.0011	0.0080399	0	0	0	0	6.6053e+13	2.0456e+13	-0.050263	0.080889	1.0011	0.0080399	0	0	0	0	1.8898e+13	7.6487e+12	-0.050263	0.080889	1.0011	0.0080399	0	0	0	0	2.0648e+18	5.2271e+17	-0.050263	0.080889	1.0011	0.0080399	0	0	0	0	4.5469e+42	2.4218e+41	-0.050263	0.080889	1.0011	0.0080399	0	0	0	0	1.2326e+15	5.8546e+14	-0.050263	0.080889	1.0011	0.0080399	0	0	0	0	5.8681e+15	4.2537e+15	-0.050263	0.080889	1.0011	0.0080399	0	0	0	0	1.3603e-05	0.0014223	0.00022081	4	-14.635	4.0372	0.11593	0.033484	-0.00030729	9.2552e-05	2.7385e-07	8.5253e-08	5584.7	2171.2	10	0.01	1e-20	1e+20	0.001	1e-25		4.8181e+06	184.9	8.9886e+06	1.8656	2.0478e+06	Avantes	30.6	263.25	934	656	0	37.766	0		15.016	0	2047	0	8.9949e+06	2047	6318.7	0	0	COVERT_,30.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 105.84255652595 SZA: 62.5308065543229 LAZ: 93.3858165989151 LAZ: 107.106526071875 Date: 9/9/2013 07:01:17 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:01:17 AM	7:01:17 AM	9/9/2013	9/9/2013 7:04:54 AM	7:04:54 AM	0	00:00:00	Corrected	COVERT_							4.1936e+12
-1	0	0.00066107	6.4748e-05	1	4.4429e-06	0	0	0	0	-6.0028e+24	3.1048e+23	0.00066107	6.4748e-05	1	4.4429e-06	0	0	0	0	-9.6264e+24	1.3752e+24	0.00066107	6.4748e-05	1	4.4429e-06	0	0	0	0	-5.7263e+17	1.7587e+17	-0.089725	0.095308	1.0133	0.0090122	0	0	0	0	3.7529e+13	1.8924e+13	-0.089725	0.095308	1.0133	0.0090122	0	0	0	0	-1.3385e+12	7.213e+12	-0.089725	0.095308	1.0133	0.0090122	0	0	0	0	2.0544e+18	4.8904e+17	-0.089725	0.095308	1.0133	0.0090122	0	0	0	0	3.2866e+42	2.266e+41	-0.089725	0.095308	1.0133	0.0090122	0	0	0	0	-7.3603e+12	5.5368e+14	-0.089725	0.095308	1.0133	0.0090122	0	0	0	0	6.4134e+15	3.9968e+15	-0.089725	0.095308	1.0133	0.0090122	0	0	0	0	1.1962e-05	0.0011885	0.00020706	11	-14.159	3.8331	0.11471	0.031792	-0.00030974	8.7874e-05	2.7914e-07	8.0945e-08	-486.68	1961.7	10	0.01	1e-20	1e+20	0.001	1e-25		4.6029e+06	184.9	8.9883e+06	1.9528	1.9804e+06	Avantes	35.8	273.03	934	656	0	37.766	0		15.016	0	2047	0	8.9944e+06	2047	6053.9	0	0	COVERT_,35.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 106.517589837859 SZA: 61.8289993022596 LAZ: 93.926798244739 LAZ: 106.407194573275 Date: 9/9/2013 07:04:59 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:04:59 AM	7:04:59 AM	9/9/2013	9/9/2013 7:08:44 AM	7:08:44 AM	0	00:00:00	Corrected	COVERT_							3.9221e+12
-1	0	0.00034575	5.9409e-05	1	4.0389e-06	0	0	0	0	-4.679e+24	2.8164e+23	0.00034575	5.9409e-05	1	4.0389e-06	0	0	0	0	-5.0913e+24	1.2612e+24	0.00034575	5.9409e-05	1	4.0389e-06	0	0	0	0	-3.6239e+17	1.5992e+17	-0.042057	0.1359	1.023	0.012857	0	0	0	0	1.3028e+13	1.7267e+13	-0.042057	0.1359	1.023	0.012857	0	0	0	0	-5.0216e+12	6.5611e+12	-0.042057	0.1359	1.023	0.012857	0	0	0	0	1.5042e+18	4.4882e+17	-0.042057	0.1359	1.023	0.012857	0	0	0	0	2.188e+42	2.0785e+41	-0.042057	0.1359	1.023	0.012857	0	0	0	0	-1.6723e+14	5.0076e+14	-0.042057	0.1359	1.023	0.012857	0	0	0	0	5.67e+15	3.5746e+15	-0.042057	0.1359	1.023	0.012857	0	0	0	0	9.9073e-06	0.0011638	0.00018843	5	-12.358	3.4695	0.10116	0.028773	-0.00027552	7.9522e-05	2.4965e-07	7.3245e-08	-1054.9	1743.2	10	0.01	1e-20	1e+20	0.001	1e-25		4.5121e+06	184.9	8.9882e+06	1.992	1.9503e+06	Avantes	40.4	280.19	934	656	0	37.766	0		15.016	0	2047	0	8.9943e+06	2047	6090.7	0	0	COVERT_,40.4,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 107.225100003516 SZA: 61.1045054381493 LAZ: 94.4858506042309 LAZ: 105.683150482156 Date: 9/9/2013 07:08:49 Lat.: 37.7657775878906 Lon.: 15.0163917541504 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:08:49 AM	7:08:49 AM	9/9/2013	9/9/2013 7:12:39 AM	7:12:39 AM	0	00:00:00	Corrected	COVERT_							3.8035e+12
