Fit Coefficient (RefSpec)	Fit Coefficient Error (RefSpec)	Shift (RefSpec)	Shift Error (RefSpec)	Squeeze (RefSpec)	Squeeze Error (RefSpec)	Quadratic Squeeze (RefSpec)	Quadratic Squeeze Error (RefSpec)	Cubic Squeeze (RefSpec)	Cubic Squeeze Error (RefSpec)	Fit Coefficient (RingSpec)	Fit Coefficient Error (RingSpec)	Shift (RingSpec)	Shift Error (RingSpec)	Squeeze (RingSpec)	Squeeze Error (RingSpec)	Quadratic Squeeze (RingSpec)	Quadratic Squeeze Error (RingSpec)	Cubic Squeeze (RingSpec)	Cubic Squeeze Error (RingSpec)	Fit Coefficient (Ring4)	Fit Coefficient Error (Ring4)	Shift (Ring4)	Shift Error (Ring4)	Squeeze (Ring4)	Squeeze Error (Ring4)	Quadratic Squeeze (Ring4)	Quadratic Squeeze Error (Ring4)	Cubic Squeeze (Ring4)	Cubic Squeeze Error (Ring4)	Fit Coefficient (SO2_Hermans_298_air_conv)	Fit Coefficient Error (SO2_Hermans_298_air_conv)	Shift (SO2_Hermans_298_air_conv)	Shift Error (SO2_Hermans_298_air_conv)	Squeeze (SO2_Hermans_298_air_conv)	Squeeze Error (SO2_Hermans_298_air_conv)	Quadratic Squeeze (SO2_Hermans_298_air_conv)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv)	Cubic Squeeze (SO2_Hermans_298_air_conv)	Cubic Squeeze Error (SO2_Hermans_298_air_conv)	Fit Coefficient (BrO_Wil298_Air_conv)	Fit Coefficient Error (BrO_Wil298_Air_conv)	Shift (BrO_Wil298_Air_conv)	Shift Error (BrO_Wil298_Air_conv)	Squeeze (BrO_Wil298_Air_conv)	Squeeze Error (BrO_Wil298_Air_conv)	Quadratic Squeeze (BrO_Wil298_Air_conv)	Quadratic Squeeze Error (BrO_Wil298_Air_conv)	Cubic Squeeze (BrO_Wil298_Air_conv)	Cubic Squeeze Error (BrO_Wil298_Air_conv)	Fit Coefficient (OClO_293K_Bogumil_2003_conv)	Fit Coefficient Error (OClO_293K_Bogumil_2003_conv)	Shift (OClO_293K_Bogumil_2003_conv)	Shift Error (OClO_293K_Bogumil_2003_conv)	Squeeze (OClO_293K_Bogumil_2003_conv)	Squeeze Error (OClO_293K_Bogumil_2003_conv)	Quadratic Squeeze (OClO_293K_Bogumil_2003_conv)	Quadratic Squeeze Error (OClO_293K_Bogumil_2003_conv)	Cubic Squeeze (OClO_293K_Bogumil_2003_conv)	Cubic Squeeze Error (OClO_293K_Bogumil_2003_conv)	Fit Coefficient (o3_221K_air_burrows_1999_conv)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv)	Shift (o3_221K_air_burrows_1999_conv)	Shift Error (o3_221K_air_burrows_1999_conv)	Squeeze (o3_221K_air_burrows_1999_conv)	Squeeze Error (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv)	Cubic Squeeze (o3_221K_air_burrows_1999_conv)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv)	Fit Coefficient (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Fit Coefficient Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Shift (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Shift Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Quadratic Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Quadratic Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Cubic Squeeze (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Cubic Squeeze Error (O4_Hermans(2011)_298K_335.59-666.63nm_conv)	Fit Coefficient (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Fit Coefficient Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Shift (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Shift Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Quadratic Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Quadratic Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Cubic Squeeze (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Cubic Squeeze Error (NO2_Voigt(2002)_280K_288-605nm(1000mbar)_conv)	Fit Coefficient (HCHO_meller_conv)	Fit Coefficient Error (HCHO_meller_conv)	Shift (HCHO_meller_conv)	Shift Error (HCHO_meller_conv)	Squeeze (HCHO_meller_conv)	Squeeze Error (HCHO_meller_conv)	Quadratic Squeeze (HCHO_meller_conv)	Quadratic Squeeze Error (HCHO_meller_conv)	Cubic Squeeze (HCHO_meller_conv)	Cubic Squeeze Error (HCHO_meller_conv)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	-0.00061101	0.00010475	1	7.6443e-06	0	0	0	0	-1.2913e+25	3.8554e+23	-0.00061101	0.00010475	1	7.6443e-06	0	0	0	0	-2.3454e+25	1.9482e+24	-0.00061101	0.00010475	1	7.6443e-06	0	0	0	0	-1.5179e+17	2.653e+17	-0.098824	0.0076888	1.0052	0.0014469	0	0	0	0	2.4394e+13	7.1315e+12	-0.098824	0.0076888	1.0052	0.0014469	0	0	0	0	-2.1804e+13	8.7945e+12	-0.098824	0.0076888	1.0052	0.0014469	0	0	0	0	2.2905e+18	3.2503e+16	-0.098824	0.0076888	1.0052	0.0014469	0	0	0	0	2.9306e+43	8.3271e+41	-0.098824	0.0076888	1.0052	0.0014469	0	0	0	0	7.3232e+14	7.9345e+14	-0.098824	0.0076888	1.0052	0.0014469	0	0	0	0	2.5515e+16	1.9911e+15	-0.098824	0.0076888	1.0052	0.0014469	0	0	0	0	2.5006e-05	0.0015772	0.00028775	7	-5.7319	6.107	0.023785	0.052887	-1.8535e-05	0.00015263	-9.1358e-09	1.468e-07	5915.5	3306.9	10	0.01	1e-20	1e+20	0.001	1e-25		5.3516e+06	184.9	8.958e+06	1.6739	2.2649e+06	Avantes	-4	219.21	733	432	0	37.766	0		15.016	0	2047	0	8.9646e+06	2047	6675.3	0	0	COVERT_,-4.0,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 116.924469930509 SZA: 52.3428241429921 LAZ: 101.423169982425 LAZ: 96.7086796573986 Date: 9/9/2013 07:56:42 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:56:42 AM	7:56:42 AM	9/9/2013	9/9/2013 7:59:45 AM	7:59:45 AM	0	00:00:00	Corrected	COVERT_							5.1299e+12
-1	0	-0.00087118	8.8094e-05	1	6.421e-06	0	0	0	0	-1.161e+25	3.2576e+23	-0.00087118	8.8094e-05	1	6.421e-06	0	0	0	0	-1.8394e+25	1.6412e+24	-0.00087118	8.8094e-05	1	6.421e-06	0	0	0	0	1.5323e+17	2.2342e+17	-0.098882	0.0076265	1.0047	0.0014121	0	0	0	0	3.418e+13	6.0079e+12	-0.098882	0.0076265	1.0047	0.0014121	0	0	0	0	-5.8375e+12	7.4232e+12	-0.098882	0.0076265	1.0047	0.0014121	0	0	0	0	1.9265e+18	2.7351e+16	-0.098882	0.0076265	1.0047	0.0014121	0	0	0	0	2.3975e+43	7.0191e+41	-0.098882	0.0076265	1.0047	0.0014121	0	0	0	0	-7.2654e+14	6.6812e+14	-0.098882	0.0076265	1.0047	0.0014121	0	0	0	0	1.2869e+16	1.681e+15	-0.098882	0.0076265	1.0047	0.0014121	0	0	0	0	1.7737e-05	0.001332	0.00024234	7	-2.2712	5.138	-0.0058508	0.044495	6.6009e-05	0.00012841	-8.9565e-08	1.235e-07	1158.6	2772.6	10	0.01	1e-20	1e+20	0.001	1e-25		5.3706e+06	184.9	8.9831e+06	1.6726	2.2742e+06	Avantes	0.9	189.72	733	432	0	37.766	0		15.016	0	2047	0	8.9897e+06	2047	6580.3	0	0	COVERT_,0.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 117.626292337827 SZA: 51.7928833723744 LAZ: 101.878779240159 LAZ: 96.1277072200193 Date: 9/9/2013 07:59:50 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 7:59:50 AM	7:59:50 AM	9/9/2013	9/9/2013 8:02:30 AM	8:02:30 AM	0	00:00:00	Corrected	COVERT_							5.1719e+12
-1	0	-0.001322	7.8047e-05	1	5.6797e-06	0	0	0	0	-1.1971e+25	2.8758e+23	-0.001322	7.8047e-05	1	5.6797e-06	0	0	0	0	-1.5712e+25	1.4586e+24	-0.001322	7.8047e-05	1	5.6797e-06	0	0	0	0	7.4809e+17	1.9947e+17	-0.08496	0.0060939	1.0038	0.001113	0	0	0	0	7.8146e+13	5.3227e+12	-0.08496	0.0060939	1.0038	0.001113	0	0	0	0	2.9154e+13	6.5726e+12	-0.08496	0.0060939	1.0038	0.001113	0	0	0	0	2.0757e+18	2.4232e+16	-0.08496	0.0060939	1.0038	0.001113	0	0	0	0	2.0094e+43	6.2215e+41	-0.08496	0.0060939	1.0038	0.001113	0	0	0	0	-7.9103e+14	5.9073e+14	-0.08496	0.0060939	1.0038	0.001113	0	0	0	0	7.3349e+15	1.4865e+15	-0.08496	0.0060939	1.0038	0.001113	0	0	0	0	1.3866e-05	0.0010782	0.00021427	7	7.2492	4.5558	-0.087182	0.039452	0.0003019	0.00011386	-3.2007e-07	1.095e-07	14830	2649.5	10	0.01	1e-20	1e+20	0.001	1e-25		5.4307e+06	184.9	8.9835e+06	1.6542	2.2581e+06	Avantes	5.9	196.76	733	432	0	37.766	0		15.016	0	2047	0	8.9897e+06	2047	6228.8	0	0	COVERT_,5.9,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 118.250301818097 SZA: 51.3131401429368 LAZ: 102.279256509257 LAZ: 95.6186275712 Date: 9/9/2013 08:02:35 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:02:35 AM	8:02:35 AM	9/9/2013	9/9/2013 8:05:19 AM	8:05:19 AM	0	00:00:00	Corrected	COVERT_							5.0989e+12
-1	0	-0.00088032	7.2307e-05	1	5.2535e-06	0	0	0	0	-7.3106e+24	2.6958e+23	-0.00088032	7.2307e-05	1	5.2535e-06	0	0	0	0	-8.0569e+24	1.368e+24	-0.00088032	7.2307e-05	1	5.2535e-06	0	0	0	0	1.5905e+18	1.8879e+17	-0.064947	0.0059015	1.0027	0.00091769	0	0	0	0	1.725e+14	4.9807e+12	-0.064947	0.0059015	1.0027	0.00091769	0	0	0	0	7.536e+13	6.144e+12	-0.064947	0.0059015	1.0027	0.00091769	0	0	0	0	1.7206e+18	2.2645e+16	-0.064947	0.0059015	1.0027	0.00091769	0	0	0	0	1.5394e+43	5.8179e+41	-0.064947	0.0059015	1.0027	0.00091769	0	0	0	0	-4.0043e+14	5.5069e+14	-0.064947	0.0059015	1.0027	0.00091769	0	0	0	0	8.3517e+15	1.3847e+15	-0.064947	0.0059015	1.0027	0.00091769	0	0	0	0	1.2052e-05	0.0010508	0.00019977	7	-0.16153	4.267	-0.016927	0.03695	8.3717e-05	0.00010663	-9.71e-08	1.0254e-07	8850.1	2482.9	10	0.01	1e-20	1e+20	0.001	1e-25		5.464e+06	184.9	8.9789e+06	1.6433	2.2914e+06	Avantes	10.8	208.67	733	432	0	37.766	0		15.016	0	2047	0	8.9858e+06	2047	6883.6	0	0	COVERT_,10.8,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 118.897451874861 SZA: 50.8246938635211 LAZ: 102.690097809374 LAZ: 95.0980268512497 Date: 9/9/2013 08:05:24 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:05:24 AM	8:05:24 AM	9/9/2013	9/9/2013 8:08:17 AM	8:08:17 AM	0	00:00:00	Corrected	COVERT_							5.2504e+12
-1	0	-0.00063123	6.9104e-05	1	5.0177e-06	0	0	0	0	-4.0325e+24	2.5908e+23	-0.00063123	6.9104e-05	1	5.0177e-06	0	0	0	0	-4.8106e+24	1.3203e+24	-0.00063123	6.9104e-05	1	5.0177e-06	0	0	0	0	2.2161e+18	1.8241e+17	-0.057969	0.0057086	1.0036	0.00077021	0	0	0	0	2.4939e+14	4.7926e+12	-0.057969	0.0057086	1.0036	0.00077021	0	0	0	0	1.0539e+14	5.8716e+12	-0.057969	0.0057086	1.0036	0.00077021	0	0	0	0	1.4425e+18	2.18e+16	-0.057969	0.0057086	1.0036	0.00077021	0	0	0	0	1.2015e+43	5.6024e+41	-0.057969	0.0057086	1.0036	0.00077021	0	0	0	0	4.651e+13	5.2957e+14	-0.057969	0.0057086	1.0036	0.00077021	0	0	0	0	6.3794e+15	1.3263e+15	-0.057969	0.0057086	1.0036	0.00077021	0	0	0	0	1.1117e-05	0.0010124	0.00019186	7	0.30045	4.1179	-0.019329	0.03566	8.8439e-05	0.00010291	-1.0095e-07	9.8968e-08	13383	2452.6	10	0.01	1e-20	1e+20	0.001	1e-25		5.4946e+06	184.9	8.983e+06	1.6349	2.3054e+06	Avantes	15.7	206.55	733	432	0	37.766	0		15.016	0	2047	0	8.9895e+06	2047	6556	0	0	COVERT_,15.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 119.584161033149 SZA: 50.3164101491873 LAZ: 103.121169450885 LAZ: 94.5537031967659 Date: 9/9/2013 08:08:21 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:08:21 AM	8:08:21 AM	9/9/2013	9/9/2013 8:11:13 AM	8:11:13 AM	0	00:00:00	Corrected	COVERT_							5.3148e+12
-1	0	1.1762e-07	6.8163e-05	1	4.951e-06	0	0	0	0	6.5074e+23	2.5936e+23	1.1762e-07	6.8163e-05	1	4.951e-06	0	0	0	0	-3.362e+24	1.3152e+24	1.1762e-07	6.8163e-05	1	4.951e-06	0	0	0	0	3.406e+18	1.8317e+17	-0.04678	0.0055298	1.003	0.00065196	0	0	0	0	3.4282e+14	4.783e+12	-0.04678	0.0055298	1.003	0.00065196	0	0	0	0	1.394e+14	5.8564e+12	-0.04678	0.0055298	1.003	0.00065196	0	0	0	0	1.0377e+18	2.1719e+16	-0.04678	0.0055298	1.003	0.00065196	0	0	0	0	8.2025e+42	5.5862e+41	-0.04678	0.0055298	1.003	0.00065196	0	0	0	0	-2.7388e+14	5.269e+14	-0.04678	0.0055298	1.003	0.00065196	0	0	0	0	4.6411e+15	1.3199e+15	-0.04678	0.0055298	1.003	0.00065196	0	0	0	0	1.1007e-05	0.0011313	0.00019091	7	7.2989	4.1108	-0.078461	0.035597	0.0002546	0.00010272	-2.5631e-07	9.8787e-08	10526	2409.9	10	0.01	1e-20	1e+20	0.001	1e-25		5.4721e+06	184.9	8.9832e+06	1.6416	2.3228e+06	Avantes	20.7	194.25	733	432	0	37.766	0		15.016	0	2047	0	8.9893e+06	2047	6050.1	0	0	COVERT_,20.7,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 120.280245906969 SZA: 49.8116041879969 LAZ: 103.553115331669 LAZ: 94.0103543675278 Date: 9/9/2013 08:11:18 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:11:18 AM	8:11:18 AM	9/9/2013	9/9/2013 8:13:59 AM	8:13:59 AM	0	00:00:00	Corrected	COVERT_							5.3955e+12
-1	0	-0.00012319	6.8064e-05	1	4.9435e-06	0	0	0	0	-1.1184e+24	2.5811e+23	-0.00012319	6.8064e-05	1	4.9435e-06	0	0	0	0	-1.6434e+24	1.3189e+24	-0.00012319	6.8064e-05	1	4.9435e-06	0	0	0	0	1.9949e+18	1.8381e+17	-0.038251	0.006764	1.0017	0.00080156	0	0	0	0	2.8663e+14	4.7648e+12	-0.038251	0.006764	1.0017	0.00080156	0	0	0	0	1.0694e+14	5.8465e+12	-0.038251	0.006764	1.0017	0.00080156	0	0	0	0	9.5542e+17	2.164e+16	-0.038251	0.006764	1.0017	0.00080156	0	0	0	0	6.8368e+42	5.5687e+41	-0.038251	0.006764	1.0017	0.00080156	0	0	0	0	-9.431e+14	5.2448e+14	-0.038251	0.006764	1.0017	0.00080156	0	0	0	0	3.8862e+15	1.3159e+15	-0.038251	0.006764	1.0017	0.00080156	0	0	0	0	1.092e-05	0.0010314	0.00019015	5	-0.95565	4.0945	-0.0037535	0.035455	3.5371e-05	0.00010231	-4.5995e-08	9.8386e-08	25260	2587.4	10	0.01	1e-20	1e+20	0.001	1e-25		5.5299e+06	184.9	8.9645e+06	1.6211	2.2863e+06	Avantes	25.6	194.72	733	432	0	37.766	0		15.016	0	2047	0	8.9709e+06	2047	6358.8	0	0	COVERT_,25.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 120.941815044295 SZA: 49.3414400171837 LAZ: 103.959078022389 LAZ: 93.5016889411381 Date: 9/9/2013 08:14:04 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:14:04 AM	8:14:04 AM	9/9/2013	9/9/2013 8:16:45 AM	8:16:45 AM	0	00:00:00	Corrected	COVERT_							5.2271e+12
-1	0	0.00017557	6.6919e-05	1	4.8569e-06	0	0	0	0	-6.2731e+24	2.507e+23	0.00017557	6.6919e-05	1	4.8569e-06	0	0	0	0	-6.4585e+23	1.3007e+24	0.00017557	6.6919e-05	1	4.8569e-06	0	0	0	0	6.0631e+17	1.8029e+17	-0.025018	0.0095314	0.99857	0.001555	0	0	0	0	9.7456e+13	4.6293e+12	-0.025018	0.0095314	0.99857	0.001555	0	0	0	0	2.7656e+13	5.7274e+12	-0.025018	0.0095314	0.99857	0.001555	0	0	0	0	1.0163e+18	2.1038e+16	-0.025018	0.0095314	0.99857	0.001555	0	0	0	0	6.316e+42	5.4161e+41	-0.025018	0.0095314	0.99857	0.001555	0	0	0	0	3.3625e+14	5.0998e+14	-0.025018	0.0095314	0.99857	0.001555	0	0	0	0	4.0899e+15	1.2843e+15	-0.025018	0.0095314	0.99857	0.001555	0	0	0	0	1.0345e-05	0.0010444	0.00018508	4	-2.526	3.9704	0.015213	0.034378	-2.8151e-05	9.9196e-05	1.5804e-08	9.5385e-08	7115.5	2431.1	10	0.01	1e-20	1e+20	0.001	1e-25		4.8001e+06	184.9	8.9907e+06	1.873	1.9761e+06	Avantes	30.6	200.5	733	432	0	37.766	0		15.016	0	2047	0	8.9969e+06	2047	6142.5	0	0	COVERT_,30.6,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 121.612062642527 SZA: 48.8745472367525 LAZ: 104.36593710762 LAZ: 92.9939383617027 Date: 9/9/2013 08:16:50 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:16:50 AM	8:16:50 AM	9/9/2013	9/9/2013 8:19:37 AM	8:19:37 AM	0	00:00:00	Corrected	COVERT_							3.9051e+12
-1	0	0.00017937	5.7108e-05	1	4.149e-06	0	0	0	0	-5.3064e+24	2.1726e+23	0.00017937	5.7108e-05	1	4.149e-06	0	0	0	0	-2.4464e+24	1.1167e+24	0.00017937	5.7108e-05	1	4.149e-06	0	0	0	0	1.2128e+17	1.555e+17	-0.012484	0.012267	0.99331	0.0023011	0	0	0	0	3.1512e+13	3.9686e+12	-0.012484	0.012267	0.99331	0.0023011	0	0	0	0	1.7148e+13	5.0277e+12	-0.012484	0.012267	0.99331	0.0023011	0	0	0	0	7.5406e+17	1.7947e+16	-0.012484	0.012267	0.99331	0.0023011	0	0	0	0	4.2199e+42	4.6251e+41	-0.012484	0.012267	0.99331	0.0023011	0	0	0	0	2.8966e+14	4.3688e+14	-0.012484	0.012267	0.99331	0.0023011	0	0	0	0	2.8127e+15	1.1084e+15	-0.012484	0.012267	0.99331	0.0023011	0	0	0	0	7.5812e-06	0.00091165	0.00015844	4	-4.2462	3.3685	0.032871	0.029163	-8.4715e-05	8.4137e-05	7.2902e-08	8.0895e-08	5050.8	2085.5	10	0.01	1e-20	1e+20	0.001	1e-25		4.6057e+06	184.9	8.9908e+06	1.9521	1.9102e+06	Avantes	35.5	202.74	733	432	0	37.766	0		15.016	0	2047	0	8.997e+06	2047	6281.5	0	0	COVERT_,35.5,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 122.315917289423 SZA: 48.3943447842417 LAZ: 104.788512939082 LAZ: 92.468830618334 Date: 9/9/2013 08:19:42 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:19:42 AM	8:19:42 AM	9/9/2013	9/9/2013 8:22:30 AM	8:22:30 AM	0	00:00:00	Corrected	COVERT_							3.6488e+12
-1	0	-0.00039632	6.2783e-05	1	4.5545e-06	0	0	0	0	-4.6404e+24	2.3977e+23	-0.00039632	6.2783e-05	1	4.5545e-06	0	0	0	0	-2.9236e+24	1.2344e+24	-0.00039632	6.2783e-05	1	4.5545e-06	0	0	0	0	-2.7775e+16	1.7336e+17	0.005463	0.020409	0.99081	0.0041644	0	0	0	0	7.0451e+12	4.3729e+12	0.005463	0.020409	0.99081	0.0041644	0	0	0	0	5.8948e+12	5.5864e+12	0.005463	0.020409	0.99081	0.0041644	0	0	0	0	5.2565e+17	1.9763e+16	0.005463	0.020409	0.99081	0.0041644	0	0	0	0	2.7331e+42	5.0942e+41	0.005463	0.020409	0.99081	0.0041644	0	0	0	0	3.0353e+14	4.8112e+14	0.005463	0.020409	0.99081	0.0041644	0	0	0	0	2.6799e+15	1.2217e+15	0.005463	0.020409	0.99081	0.0041644	0	0	0	0	9.1716e-06	0.0011096	0.00017427	4	-3.6572	3.7082	0.029924	0.032101	-8.0799e-05	9.2608e-05	7.1711e-08	8.9032e-08	-966.76	2279.6	10	0.01	1e-20	1e+20	0.001	1e-25		4.4825e+06	184.9	8.9899e+06	2.0055	1.8739e+06	Avantes	40.4	205.96	733	432	0	37.766	0		15.016	0	2047	0	8.9962e+06	2047	6290.6	0	0	COVERT_,40.4,184.9	800	EvalSpec	0	0	0	0	0		SAZ: 123.033733891749 SZA: 47.9151344965302 LAZ: 105.214651646551 LAZ: 91.9417234917566 Date: 9/9/2013 08:22:35 Lat.: 37.765796661377 Lon.: 15.0163831710815 TimeZoneOffset: 00:00:00	0	Heidelberg	9/9/2013	9/9/2013 8:22:35 AM	8:22:35 AM	9/9/2013	9/9/2013 8:25:26 AM	8:25:26 AM	0	00:00:00	Corrected	COVERT_							3.5117e+12
